Entry ID,[Filter],[EC ID],[EC JP Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
3400,*,7,Spell Warden,0,Branch,30,Always,3600,Go to 3600
3500,*,7,Spell Warden,1,Action,550,Attack,1,Same PC
3600,*,7,Spell Warden,1,Action,551,Guard,-1,None
3700,*,7,Spell Warden,1,Action,37,ガッツ,-1,None
3800,*,7,Spell Warden,1,Action,500,アパ,22,Self
3900,*,7,Spell Warden,1,Action,500,アパ,8,EC w/ Largest ID
4000,*,7,Spell Warden,1,Action,506,サプラ,7,EC w/ Least HP
4100,*,7,Spell Warden,1,Action,506,サプラ,8,EC w/ Largest ID
4200,*,7,Spell Warden,1,Action,506,サプラ,22,Self
4300,*,7,Spell Warden,1,Action,526,グラシャ,2,Random PC
100,*,8,Flestik,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,8,Flestik,0,Branch,30,Always,400,Go to 400
300,*,8,Flestik,0,Branch,28,Rating 80%,1600,Go to 1600
400,*,8,Flestik,0,Branch,2,HP < 25%,1200,Go to 1200
500,*,8,Flestik,0,Branch,4,Got Hit?,700,Go to 700
600,*,8,Flestik,0,Branch,30,Always,900,Go to 900
700,*,8,Flestik,0,Branch,28,Rating 80%,1400,Go to 1400
800,*,8,Flestik,0,Branch,30,Always,1500,Go to 1500
900,*,8,Flestik,0,Branch,26,Rating 60%,1400,Go to 1400
1000,*,8,Flestik,0,Branch,26,Rating 60%,1500,Go to 1500
1100,*,8,Flestik,0,Branch,30,Always,1600,Go to 1600
1200,*,8,Flestik,0,Branch,24,Rating 40%,1600,Go to 1600
1300,*,8,Flestik,0,Branch,30,Always,900,Go to 900
1400,*,8,Flestik,1,Action,550,Attack,1,Same PC
1500,*,8,Flestik,1,Action,551,Guard,-1,None
1600,*,8,Flestik,1,Action,552,Run,-1,None
100,*,9,Basallish,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,9,Basallish,0,Branch,30,Always,400,Go to 400
300,*,9,Basallish,0,Branch,29,Rating 90%,1600,Go to 1600
400,*,9,Basallish,0,Branch,2,HP < 25%,1200,Go to 1200
500,*,9,Basallish,0,Branch,4,Got Hit?,700,Go to 700
600,*,9,Basallish,0,Branch,30,Always,900,Go to 900
700,*,9,Basallish,0,Branch,29,Rating 90%,1400,Go to 1400
800,*,9,Basallish,0,Branch,30,Always,1600,Go to 1600
900,*,9,Basallish,0,Branch,27,Rating 70%,1400,Go to 1400
1000,*,9,Basallish,0,Branch,24,Rating 40%,1500,Go to 1500
1100,*,9,Basallish,0,Branch,30,Always,1600,Go to 1600
1200,*,9,Basallish,0,Branch,25,Rating 50%,1600,Go to 1600
1300,*,9,Basallish,0,Branch,30,Always,900,Go to 900
1400,*,9,Basallish,1,Action,550,Attack,1,Same PC
1500,*,9,Basallish,1,Action,551,Guard,-1,None
1600,*,9,Basallish,1,Action,552,Run,-1,None
100,*,10,Mind Stealer,0,Branch,21,Rating 10%,300,Go to 300
200,*,10,Mind Stealer,1,Action,550,Attack,1,Same PC
300,*,10,Mind Stealer,1,Action,551,Guard,-1,None
100,*,11,Walrenk,0,Branch,16,Has Silence?,600,Go to 600
200,*,11,Walrenk,0,Branch,34,Used Attack Spells ≥ 2,400,Go to 400
300,*,11,Walrenk,0,Branch,22,Rating 20%,1000,Go to 1000
400,*,11,Walrenk,0,Branch,35,Used State Spells ≥ 1,600,Go to 600
500,*,11,Walrenk,0,Branch,22,Rating 20%,900,Go to 900
600,*,11,Walrenk,0,Branch,21,Rating 10%,800,Go to 800
700,*,11,Walrenk,1,Action,550,Attack,2,Random PC
800,*,11,Walrenk,1,Action,551,Guard,-1,None
900,*,11,Walrenk,1,Action,503,パニカ,14,PC w/o Confusion
1000,*,11,Walrenk,1,Action,527,グラシィ,2,Random PC
100,*,12,Varkris,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,12,Varkris,0,Branch,30,Always,400,Go to 400
300,*,12,Varkris,0,Branch,27,Rating 70%,3000,Go to 3000
400,*,12,Varkris,0,Branch,17,ECs Alive = 1,2200,Go to 2200
500,*,12,Varkris,0,Branch,36,Used State Spells ≥ 2,1800,Go to 1800
600,*,12,Varkris,0,Branch,11,Turn 1,800,Go to 800
700,*,12,Varkris,0,Branch,30,Always,1000,Go to 1000
800,*,12,Varkris,0,Branch,16,Has Silence?,1000,Go to 1000
900,*,12,Varkris,0,Branch,23,Rating 30%,2600,Go to 2600
1000,*,12,Varkris,0,Branch,12,Turn 2,1200,Go to 1200
1100,*,12,Varkris,0,Branch,30,Always,1400,Go to 1400
1200,*,12,Varkris,0,Branch,16,Has Silence?,1500,Go to 1500
1300,*,12,Varkris,0,Branch,21,Rating 10%,2600,Go to 2600
1400,*,12,Varkris,0,Branch,22,Rating 20%,2700,Go to 2700
1500,*,12,Varkris,0,Branch,27,Rating 70%,2500,Go to 2500
1600,*,12,Varkris,0,Branch,25,Rating 50%,2800,Go to 2800
1700,*,12,Varkris,0,Branch,30,Always,2900,Go to 2900
1800,*,12,Varkris,0,Branch,25,Rating 50%,2500,Go to 2500
1900,*,12,Varkris,0,Branch,24,Rating 40%,2800,Go to 2800
2000,*,12,Varkris,0,Branch,26,Rating 60%,2900,Go to 2900
2100,*,12,Varkris,0,Branch,30,Always,3000,Go to 3000
2200,*,12,Varkris,0,Branch,24,Rating 40%,2800,Go to 2800
2300,*,12,Varkris,0,Branch,25,Rating 50%,2900,Go to 2900
2400,*,12,Varkris,0,Branch,30,Always,3000,Go to 3000
2500,*,12,Varkris,1,Action,550,Attack,2,Random PC
2600,*,12,Varkris,1,Action,513,クイッカ,-1,None
2700,*,12,Varkris,1,Action,512,スリーパ,-1,None
2800,*,12,Varkris,1,Action,62,仲間を呼ぶ,-1,None
2900,*,12,Varkris,1,Action,107,仲間を呼ぶ,-1,None
3000,*,12,Varkris,1,Action,552,Run,-1,None
100,*,13,Azbeth,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,13,Azbeth,0,Branch,30,Always,400,Go to 400
300,*,13,Azbeth,0,Branch,27,Rating 70%,1600,Go to 1600
400,*,13,Azbeth,0,Branch,25,Rating 50%,1400,Go to 1400
500,*,13,Azbeth,0,Branch,24,Rating 40%,800,Go to 800
600,*,13,Azbeth,0,Branch,27,Rating 70%,1100,Go to 1100
700,*,13,Azbeth,0,Branch,30,Always,1500,Go to 1500
800,*,13,Azbeth,0,Branch,25,Rating 50%,1700,Go to 1700
900,*,13,Azbeth,0,Branch,24,Rating 40%,1800,Go to 1800
1000,*,13,Azbeth,0,Branch,30,Always,1900,Go to 1900
1100,*,13,Azbeth,0,Branch,16,Has Silence?,2100,Go to 2100
1200,*,13,Azbeth,0,Branch,36,Used State Spells ≥ 2,2100,Go to 2100
1300,*,13,Azbeth,0,Branch,30,Always,2000,Go to 2000
1400,*,13,Azbeth,1,Action,550,Attack,2,Random PC
1500,*,13,Azbeth,1,Action,551,Guard,-1,None
1600,*,13,Azbeth,1,Action,552,Run,-1,None
1700,*,13,Azbeth,1,Action,200,仲間を呼ぶ,-1,None
1800,*,13,Azbeth,1,Action,201,仲間を呼ぶ,-1,None
1900,*,13,Azbeth,1,Action,108,仲間を呼ぶ,-1,None
2000,*,13,Azbeth,1,Action,517,ジェダ,2,Random PC
2100,*,13,Azbeth,1,Action,100,Ж術？,-1,None
100,*,14,Zivilyn Bane,0,Branch,11,Turn 1,1200,Go to 1200
200,*,14,Zivilyn Bane,0,Branch,50,Used S-Move?,500,Go to 500
300,*,14,Zivilyn Bane,0,Branch,22,Rating 20%,1500,Go to 1500
400,*,14,Zivilyn Bane,0,Branch,30,Always,1700,Go to 1700
500,*,14,Zivilyn Bane,0,Branch,62,PCs Alive = 1,900,Go to 900
600,*,14,Zivilyn Bane,0,Branch,63,PCs Alive = 2,900,Go to 900
700,*,14,Zivilyn Bane,0,Branch,14,Turn 4,1200,Go to 1200
800,*,14,Zivilyn Bane,0,Branch,37,Turn ≥ 5,1200,Go to 1200
900,*,14,Zivilyn Bane,0,Branch,27,Rating 70%,1500,Go to 1500
1000,*,14,Zivilyn Bane,0,Branch,27,Rating 70%,1700,Go to 1700
1100,*,14,Zivilyn Bane,0,Branch,30,Always,1600,Go to 1600
1200,*,14,Zivilyn Bane,0,Branch,25,Rating 50%,1700,Go to 1700
1300,*,14,Zivilyn Bane,0,Branch,28,Rating 80%,1500,Go to 1500
1400,*,14,Zivilyn Bane,0,Branch,30,Always,1600,Go to 1600
1500,*,14,Zivilyn Bane,1,Action,550,Attack,4,PC w/ Least HP
1600,*,14,Zivilyn Bane,1,Action,551,Guard,-1,None
1700,*,14,Zivilyn Bane,1,Action,22,発破,2,Random PC
100,*,15,Ghastling,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,15,Ghastling,0,Branch,30,Always,400,Go to 400
300,*,15,Ghastling,0,Branch,28,Rating 80%,1600,Go to 1600
400,*,15,Ghastling,0,Branch,0,HP = 100%,700,Go to 700
500,*,15,Ghastling,0,Branch,46,Used HP Absorbs ≥ 1,700,Go to 700
600,*,15,Ghastling,0,Branch,29,Rating 90%,1500,Go to 1500
700,*,15,Ghastling,0,Branch,9,Any PC Distance >= 3,1100,Go to 1100
800,*,15,Ghastling,0,Branch,27,Rating 70%,1400,Go to 1400
900,*,15,Ghastling,0,Branch,28,Rating 80%,1600,Go to 1600
1000,*,15,Ghastling,0,Branch,30,Always,1700,Go to 1700
1100,*,15,Ghastling,0,Branch,27,Rating 70%,1400,Go to 1400
1200,*,15,Ghastling,0,Branch,28,Rating 80%,1500,Go to 1500
1300,*,15,Ghastling,0,Branch,30,Always,1700,Go to 1700
1400,*,15,Ghastling,1,Action,550,Attack,1,Same PC
1500,*,15,Ghastling,1,Action,210,ＨＰ吸収,3,PC w/ Most HP
1600,*,15,Ghastling,1,Action,552,Run,-1,None
1700,*,15,Ghastling,1,Action,551,Guard,-1,None
100,*,16,Florast,0,Branch,45,1st PC ΔLevel > 7,300,Go to 300
200,*,16,Florast,0,Branch,30,Always,400,Go to 400
300,*,16,Florast,0,Branch,26,Rating 60%,1600,Go to 1600
400,*,16,Florast,0,Branch,44,1st PC ΔLevel > 3,600,Go to 600
500,*,16,Florast,0,Branch,30,Always,700,Go to 700
600,*,16,Florast,0,Branch,23,Rating 30%,1600,Go to 1600
700,*,16,Florast,0,Branch,11,Turn 1,1000,Go to 1000
800,*,16,Florast,0,Branch,12,Turn 2,1000,Go to 1000
900,*,16,Florast,0,Branch,30,Always,1200,Go to 1200
1000,*,16,Florast,0,Branch,22,Rating 20%,1700,Go to 1700
1100,*,16,Florast,0,Branch,22,Rating 20%,1800,Go to 1800
1200,*,16,Florast,0,Branch,27,Rating 70%,1500,Go to 1500
1300,*,16,Florast,0,Branch,25,Rating 50%,1900,Go to 1900
1400,*,16,Florast,0,Branch,30,Always,2000,Go to 2000
1500,*,16,Florast,1,Action,550,Attack,2,Random PC
1600,*,16,Florast,1,Action,552,Run,-1,None
1700,*,16,Florast,1,Action,504,ダウナ,17,PC w/o Weak
1800,*,16,Florast,1,Action,511,プワゾーク,-1,None
1900,*,16,Florast,1,Action,100,Ж術？,-1,None
2000,*,16,Florast,1,Action,551,Guard,-1,None
100,*,17,Tsirat,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,17,Tsirat,0,Branch,30,Always,400,Go to 400
300,*,17,Tsirat,0,Branch,24,Rating 40%,1300,Go to 1300
400,*,17,Tsirat,0,Branch,0,HP = 100%,700,Go to 700
500,*,17,Tsirat,0,Branch,46,Used HP Absorbs ≥ 1,700,Go to 700
600,*,17,Tsirat,0,Branch,25,Rating 50%,1400,Go to 1400
700,*,17,Tsirat,0,Branch,16,Has Silence?,1000,Go to 1000
800,*,17,Tsirat,0,Branch,34,Used Attack Spells ≥ 2,1000,Go to 1000
900,*,17,Tsirat,0,Branch,24,Rating 40%,1500,Go to 1500
1000,*,17,Tsirat,0,Branch,21,Rating 10%,1300,Go to 1300
1100,*,17,Tsirat,0,Branch,21,Rating 10%,1600,Go to 1600
1200,*,17,Tsirat,1,Action,550,Attack,2,Random PC
1300,*,17,Tsirat,1,Action,552,Run,-1,None
1400,*,17,Tsirat,1,Action,211,ＨＰ吸収,3,PC w/ Most HP
1500,*,17,Tsirat,1,Action,532,ボルタ,2,Random PC
1600,*,17,Tsirat,1,Action,551,Guard,-1,None
100,*,18,Thorkryn,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,18,Thorkryn,0,Branch,30,Always,400,Go to 400
300,*,18,Thorkryn,0,Branch,24,Rating 40%,1600,Go to 1600
400,*,18,Thorkryn,0,Branch,40,Used Gather Strength?,1800,Go to 1800
500,*,18,Thorkryn,0,Branch,4,Got Hit?,800,Go to 800
600,*,18,Thorkryn,0,Branch,54,ECs Alive ≤ 3,800,Go to 800
700,*,18,Thorkryn,0,Branch,30,Always,1000,Go to 1000
800,*,18,Thorkryn,0,Branch,50,Used S-Move?,1000,Go to 1000
900,*,18,Thorkryn,0,Branch,25,Rating 50%,1800,Go to 1800
1000,*,18,Thorkryn,0,Branch,25,Rating 50%,1700,Go to 1700
1100,*,18,Thorkryn,0,Branch,27,Rating 70%,1400,Go to 1400
1200,*,18,Thorkryn,0,Branch,27,Rating 70%,1500,Go to 1500
1300,*,18,Thorkryn,0,Branch,30,Always,1600,Go to 1600
1400,*,18,Thorkryn,1,Action,550,Attack,2,Random PC
1500,*,18,Thorkryn,1,Action,551,Guard,-1,None
1600,*,18,Thorkryn,1,Action,552,Run,-1,None
1700,*,18,Thorkryn,1,Action,20,ためる,-1,None
1800,*,18,Thorkryn,1,Action,170,針千本,2,Random PC
100,*,19,Scorfly,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,19,Scorfly,0,Branch,30,Always,400,Go to 400
300,*,19,Scorfly,0,Branch,24,Rating 40%,700,Go to 700
400,*,19,Scorfly,0,Branch,21,Rating 10%,700,Go to 700
500,*,19,Scorfly,0,Branch,21,Rating 10%,800,Go to 800
600,*,19,Scorfly,1,Action,550,Attack,2,Random PC
700,*,19,Scorfly,1,Action,552,Run,-1,None
800,*,19,Scorfly,1,Action,551,Guard,-1,None
100,*,20,Centralk,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,20,Centralk,0,Branch,30,Always,400,Go to 400
300,*,20,Centralk,0,Branch,28,Rating 80%,1600,Go to 1600
400,*,20,Centralk,0,Branch,2,HP < 25%,1200,Go to 1200
500,*,20,Centralk,0,Branch,4,Got Hit?,700,Go to 700
600,*,20,Centralk,0,Branch,30,Always,900,Go to 900
700,*,20,Centralk,0,Branch,28,Rating 80%,1400,Go to 1400
800,*,20,Centralk,0,Branch,30,Always,1500,Go to 1500
900,*,20,Centralk,0,Branch,26,Rating 60%,1400,Go to 1400
1000,*,20,Centralk,0,Branch,26,Rating 60%,1500,Go to 1500
1100,*,20,Centralk,0,Branch,30,Always,1600,Go to 1600
1200,*,20,Centralk,0,Branch,24,Rating 40%,1600,Go to 1600
1300,*,20,Centralk,0,Branch,30,Always,900,Go to 900
1400,*,20,Centralk,1,Action,550,Attack,1,Same PC
1500,*,20,Centralk,1,Action,551,Guard,-1,None
1600,*,20,Centralk,1,Action,552,Run,-1,None
100,*,21,Feralisk,0,Branch,16,Has Silence?,1000,Go to 1000
200,*,21,Feralisk,0,Branch,36,Used State Spells ≥ 2,1000,Go to 1000
300,*,21,Feralisk,0,Branch,11,Turn 1,500,Go to 500
400,*,21,Feralisk,0,Branch,30,Always,600,Go to 600
500,*,21,Feralisk,0,Branch,22,Rating 20%,1600,Go to 1600
600,*,21,Feralisk,0,Branch,12,Turn 2,800,Go to 800
700,*,21,Feralisk,0,Branch,30,Always,900,Go to 900
800,*,21,Feralisk,0,Branch,21,Rating 10%,1600,Go to 1600
900,*,21,Feralisk,0,Branch,22,Rating 20%,1700,Go to 1700
1000,*,21,Feralisk,0,Branch,27,Rating 70%,1400,Go to 1400
1100,*,21,Feralisk,0,Branch,25,Rating 50%,1500,Go to 1500
1200,*,21,Feralisk,0,Branch,25,Rating 50%,1800,Go to 1800
1300,*,21,Feralisk,0,Branch,30,Always,1900,Go to 1900
1400,*,21,Feralisk,1,Action,550,Attack,2,Random PC
1500,*,21,Feralisk,1,Action,551,Guard,-1,None
1600,*,21,Feralisk,1,Action,501,アポス,-1,None
1700,*,21,Feralisk,1,Action,510,プワザ,16,PC w/o Sleep
1800,*,21,Feralisk,1,Action,88,仲間を呼ぶ,-1,None
1900,*,21,Feralisk,1,Action,115,仲間を呼ぶ,-1,None
100,*,22,Ferlith,0,Branch,16,Has Silence?,1000,Go to 1000
200,*,22,Ferlith,0,Branch,36,Used State Spells ≥ 2,1000,Go to 1000
300,*,22,Ferlith,0,Branch,11,Turn 1,500,Go to 500
400,*,22,Ferlith,0,Branch,30,Always,600,Go to 600
500,*,22,Ferlith,0,Branch,22,Rating 20%,1600,Go to 1600
600,*,22,Ferlith,0,Branch,12,Turn 2,800,Go to 800
700,*,22,Ferlith,0,Branch,30,Always,900,Go to 900
800,*,22,Ferlith,0,Branch,21,Rating 10%,1600,Go to 1600
900,*,22,Ferlith,0,Branch,22,Rating 20%,1700,Go to 1700
1000,*,22,Ferlith,0,Branch,27,Rating 70%,1400,Go to 1400
1100,*,22,Ferlith,0,Branch,25,Rating 50%,1500,Go to 1500
1200,*,22,Ferlith,0,Branch,25,Rating 50%,1800,Go to 1800
