Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],EC2 ID,[EC2 JP Name],EC3 ID,[EC3 JP Name],EC4 ID,[EC4 JP Name],EC5 ID,[EC5 JP Name],EC6 ID,[EC6 JP Name],EC7 ID,[EC7 JP Name],EC8 ID,[EC8 JP Name]
4,a035b_ep.enp,144,3,105,Red Guard,255,None,255,None,255,None,255,None,255,None,255,None,255,None
5,a035b_ep.enp,144,3,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None,255,None,255,None
6,a035b_ep.enp,144,3,105,Red Guard,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None,255,None
7,a035b_ep.enp,144,3,105,Red Guard,105,Red Guard,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None
8,a035b_ep.enp,139,3,60,Soldier,105,Red Guard,255,None,255,None,255,None,255,None,255,None,255,None
9,a035b_ep.enp,144,3,60,Soldier,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None,255,None
10,a035b_ep.enp,144,3,60,Soldier,105,Red Guard,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None
11,a035b_ep.enp,134,3,60,Soldier,60,Soldier,105,Red Guard,255,None,255,None,255,None,255,None,255,None
12,a035b_ep.enp,139,3,60,Soldier,60,Soldier,105,Red Guard,105,Red Guard,255,None,255,None,255,None,255,None
13,a035b_ep.enp,134,3,60,Soldier,60,Soldier,60,Soldier,105,Red Guard,255,None,255,None,255,None,255,None
0,a099a_01ep.enp,22,1,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None,255,None,255,None
1,a099a_01ep.enp,22,1,15,Ghastling,15,Ghastling,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
2,a099a_01ep.enp,22,1,15,Ghastling,15,Ghastling,15,Ghastling,15,Ghastling,15,Ghastling,15,Ghastling,255,None,255,None
3,a099a_01ep.enp,52,1,29,Looper,255,None,255,None,255,None,255,None,255,None,255,None,255,None
4,a099a_01ep.enp,52,1,29,Looper,29,Looper,29,Looper,255,None,255,None,255,None,255,None,255,None
5,a099a_01ep.enp,27,1,3,Marocca,255,None,255,None,255,None,255,None,255,None,255,None,255,None
6,a099a_01ep.enp,12,1,3,Marocca,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None,255,None
7,a099a_01ep.enp,27,1,4,Grouder,255,None,255,None,255,None,255,None,255,None,255,None,255,None
8,a099a_01ep.enp,12,1,4,Grouder,4,Grouder,255,None,255,None,255,None,255,None,255,None,255,None
9,a099a_01ep.enp,27,1,29,Looper,15,Ghastling,255,None,255,None,255,None,255,None,255,None,255,None
10,a099a_01ep.enp,27,1,29,Looper,15,Ghastling,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
11,a099a_01ep.enp,22,1,3,Marocca,15,Ghastling,255,None,255,None,255,None,255,None,255,None,255,None
12,a099a_01ep.enp,22,1,3,Marocca,15,Ghastling,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
13,a099a_01ep.enp,32,1,3,Marocca,29,Looper,255,None,255,None,255,None,255,None,255,None,255,None
14,a099a_01ep.enp,32,1,3,Marocca,3,Marocca,29,Looper,29,Looper,255,None,255,None,255,None,255,None
15,a099a_01ep.enp,27,1,3,Marocca,29,Looper,15,Ghastling,255,None,255,None,255,None,255,None,255,None
16,a099a_01ep.enp,27,1,3,Marocca,29,Looper,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
17,a099a_01ep.enp,22,1,4,Grouder,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None,255,None
18,a099a_01ep.enp,12,1,4,Grouder,15,Ghastling,15,Ghastling,15,Ghastling,15,Ghastling,255,None,255,None,255,None
19,a099a_01ep.enp,27,1,4,Grouder,29,Looper,255,None,255,None,255,None,255,None,255,None,255,None
20,a099a_01ep.enp,27,1,4,Grouder,29,Looper,29,Looper,255,None,255,None,255,None,255,None,255,None
21,a099a_01ep.enp,22,1,4,Grouder,3,Marocca,255,None,255,None,255,None,255,None,255,None,255,None
22,a099a_01ep.enp,12,1,4,Grouder,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None,255,None
23,a099a_01ep.enp,27,1,4,Grouder,29,Looper,15,Ghastling,255,None,255,None,255,None,255,None,255,None
24,a099a_01ep.enp,22,1,4,Grouder,29,Looper,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
25,a099a_01ep.enp,12,1,4,Grouder,3,Marocca,15,Ghastling,255,None,255,None,255,None,255,None,255,None
26,a099a_01ep.enp,12,1,4,Grouder,3,Marocca,15,Ghastling,15,Ghastling,255,None,255,None,255,None,255,None
27,a099a_01ep.enp,12,1,4,Grouder,3,Marocca,29,Looper,255,None,255,None,255,None,255,None,255,None
28,a099a_01ep.enp,12,1,4,Grouder,3,Marocca,3,Marocca,29,Looper,29,Looper,255,None,255,None,255,None
29,a099a_01ep.enp,12,1,4,Grouder,4,Grouder,29,Looper,15,Ghastling,15,Ghastling,255,None,255,None,255,None
30,a099a_01ep.enp,12,1,4,Grouder,4,Grouder,3,Marocca,15,Ghastling,15,Ghastling,255,None,255,None,255,None
31,a099a_01ep.enp,12,1,4,Grouder,4,Grouder,3,Marocca,29,Looper,255,None,255,None,255,None,255,None
0,a099a_02ep.enp,34,1,18,Thorkyn,18,Thorkyn,255,None,255,None,255,None,255,None,255,None,255,None
1,a099a_02ep.enp,34,1,18,Thorkyn,18,Thorkyn,18,Thorkyn,255,None,255,None,255,None,255,None,255,None
2,a099a_02ep.enp,24,1,18,Thorkyn,18,Thorkyn,18,Thorkyn,18,Thorkyn,255,None,255,None,255,None,255,None
3,a099a_02ep.enp,19,1,19,Scorfly,255,None,255,None,255,None,255,None,255,None,255,None,255,None
4,a099a_02ep.enp,19,1,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None,255,None
5,a099a_02ep.enp,14,1,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None,255,None
6,a099a_02ep.enp,34,1,18,Thorkyn,3,Marocca,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None
7,a099a_02ep.enp,34,1,18,Thorkyn,3,Marocca,3,Marocca,3,Marocca,3,Marocca,3,Marocca,255,None,255,None
8,a099a_02ep.enp,34,1,18,Thorkyn,18,Thorkyn,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None
9,a099a_02ep.enp,24,1,19,Scorfly,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None,255,None
10,a099a_02ep.enp,24,1,19,Scorfly,3,Marocca,3,Marocca,3,Marocca,3,Marocca,255,None,255,None,255,None
11,a099a_02ep.enp,24,1,19,Scorfly,19,Scorfly,3,Marocca,3,Marocca,255,None,255,None,255,None,255,None
12,a099a_02ep.enp,34,1,4,Grouder,18,Thorkyn,18,Thorkyn,255,None,255,None,255,None,255,None,255,None
13,a099a_02ep.enp,34,1,4,Grouder,18,Thorkyn,18,Thorkyn,18,Thorkyn,255,None,255,None,255,None,255,None
14,a099a_02ep.enp,24,1,4,Grouder,19,Scorfly,255,None,255,None,255,None,255,None,255,None,255,None
15,a099a_02ep.enp,14,1,4,Grouder,4,Grouder,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None
16,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,255,None,255,None,255,None,255,None,255,None,255,None
17,a099a_02ep.enp,29,1,18,Thorkyn,18,Thorkyn,19,Scorfly,255,None,255,None,255,None,255,None,255,None
18,a099a_02ep.enp,19,1,18,Thorkyn,18,Thorkyn,18,Thorkyn,19,Scorfly,255,None,255,None,255,None,255,None
19,a099a_02ep.enp,19,1,18,Thorkyn,18,Thorkyn,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None
20,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None,255,None
21,a099a_02ep.enp,14,1,18,Thorkyn,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None,255,None
22,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,3,Marocca,255,None,255,None,255,None,255,None,255,None
23,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,3,Marocca,3,Marocca,3,Marocca,255,None,255,None,255,None
24,a099a_02ep.enp,19,1,18,Thorkyn,18,Thorkyn,19,Scorfly,3,Marocca,3,Marocca,255,None,255,None,255,None
25,a099a_02ep.enp,19,1,18,Thorkyn,18,Thorkyn,19,Scorfly,19,Scorfly,3,Marocca,255,None,255,None,255,None
26,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,4,Grouder,255,None,255,None,255,None,255,None,255,None
27,a099a_02ep.enp,19,1,18,Thorkyn,18,Thorkyn,19,Scorfly,4,Grouder,255,None,255,None,255,None,255,None
28,a099a_02ep.enp,29,1,18,Thorkyn,19,Scorfly,4,Grouder,4,Grouder,255,None,255,None,255,None,255,None
29,a099a_02ep.enp,19,1,18,Thorkyn,19,Scorfly,19,Scorfly,4,Grouder,255,None,255,None,255,None,255,None
30,a099a_02ep.enp,42,1,17,Tsirat,17,Tsirat,17,Tsirat,255,None,255,None,255,None,255,None,255,None
31,a099a_02ep.enp,42,1,17,Tsirat,17,Tsirat,17,Tsirat,17,Tsirat,17,Tsirat,255,None,255,None,255,None
0,a099a_03ep.enp,32,1,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,255,None,255,None,255,None,255,None
1,a099a_03ep.enp,32,1,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,255,None,255,None
2,a099a_03ep.enp,42,1,96,Stonebeak,96,Stonebeak,255,None,255,None,255,None,255,None,255,None,255,None
3,a099a_03ep.enp,42,1,96,Stonebeak,96,Stonebeak,96,Stonebeak,255,None,255,None,255,None,255,None,255,None
4,a099a_03ep.enp,57,1,30,Loopalon,255,None,255,None,255,None,255,None,255,None,255,None,255,None
5,a099a_03ep.enp,57,1,30,Loopalon,30,Loopalon,30,Loopalon,255,None,255,None,255,None,255,None,255,None
6,a099a_03ep.enp,27,1,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None
7,a099a_03ep.enp,27,1,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None
8,a099a_03ep.enp,17,1,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None
9,a099a_03ep.enp,37,1,13,Azbeth,96,Stonebeak,255,None,255,None,255,None,255,None,255,None,255,None
10,a099a_03ep.enp,27,1,13,Azbeth,13,Azbeth,13,Azbeth,96,Stonebeak,255,None,255,None,255,None,255,None
11,a099a_03ep.enp,17,1,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,96,Stonebeak,96,Stonebeak,255,None,255,None
12,a099a_03ep.enp,42,1,13,Azbeth,13,Azbeth,13,Azbeth,30,Loopalon,255,None,255,None,255,None,255,None
13,a099a_03ep.enp,32,1,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,13,Azbeth,30,Loopalon,255,None,255,None
14,a099a_03ep.enp,27,1,13,Azbeth,13,Azbeth,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None
15,a099a_03ep.enp,27,1,13,Azbeth,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None,255,None
16,a099a_03ep.enp,27,1,13,Azbeth,13,Azbeth,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None
17,a099a_03ep.enp,47,1,96,Stonebeak,30,Loopalon,255,None,255,None,255,None,255,None,255,None,255,None
18,a099a_03ep.enp,47,1,96,Stonebeak,96,Stonebeak,30,Loopalon,30,Loopalon,255,None,255,None,255,None,255,None
19,a099a_03ep.enp,37,1,96,Stonebeak,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None
20,a099a_03ep.enp,37,1,96,Stonebeak,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None
21,a099a_03ep.enp,37,1,96,Stonebeak,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None,255,None
22,a099a_03ep.enp,37,1,30,Loopalon,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None
23,a099a_03ep.enp,37,1,30,Loopalon,30,Loopalon,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None
24,a099a_03ep.enp,37,1,30,Loopalon,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None
25,a099a_03ep.enp,27,1,93,Durel Beetle,93,Durel Beetle,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None
26,a099a_03ep.enp,37,1,13,Azbeth,96,Stonebeak,30,Loopalon,255,None,255,None,255,None,255,None,255,None
27,a099a_03ep.enp,37,1,13,Azbeth,13,Azbeth,96,Stonebeak,30,Loopalon,255,None,255,None,255,None,255,None
28,a099a_03ep.enp,32,1,13,Azbeth,96,Stonebeak,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None
29,a099a_03ep.enp,32,1,13,Azbeth,13,Azbeth,96,Stonebeak,96,Stonebeak,93,Durel Beetle,93,Durel Beetle,255,None,255,None
30,a099a_03ep.enp,27,1,13,Azbeth,96,Stonebeak,19,Scorfly,19,Scorfly,255,None,255,None,255,None,255,None
31,a099a_03ep.enp,32,1,30,Loopalon,93,Durel Beetle,19,Scorfly,19,Scorfly,19,Scorfly,19,Scorfly,255,None,255,None
0,a099a_04ep.enp,75,2,64,Graver,64,Graver,255,None,255,None,255,None,255,None,255,None,255,None
1,a099a_04ep.enp,75,2,64,Graver,64,Graver,13,Azbeth,255,None,255,None,255,None,255,None,255,None
2,a099a_04ep.enp,70,2,64,Graver,64,Graver,13,Azbeth,13,Azbeth,255,None,255,None,255,None,255,None
3,a099a_04ep.enp,65,2,64,Graver,64,Graver,13,Azbeth,13,Azbeth,93,Durel Beetle,255,None,255,None,255,None
4,a099a_04ep.enp,60,2,64,Graver,64,Graver,64,Graver,13,Azbeth,93,Durel Beetle,93,Durel Beetle,255,None,255,None
5,a099a_04ep.enp,80,2,64,Graver,64,Graver,93,Durel Beetle,255,None,255,None,255,None,255,None,255,None
6,a099a_04ep.enp,75,2,64,Graver,64,Graver,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None,255,None
7,a099a_04ep.enp,80,2,64,Graver,64,Graver,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None,255,None
8,a099a_04ep.enp,80,2,64,Graver,64,Graver,64,Graver,93,Durel Beetle,93,Durel Beetle,93,Durel Beetle,255,None,255,None
9,a099a_04ep.enp,70,2,64,Graver,64,Graver,13,Azbeth,13,Azbeth,96,Stonebeak,255,None,255,None,255,None
10,a099a_04ep.enp,80,2,64,Graver,64,Graver,93,Durel Beetle,93,Durel Beetle,96,Stonebeak,255,None,255,None,255,None
11,a099a_04ep.enp,70,2,64,Graver,64,Graver,13,Azbeth,93,Durel Beetle,96,Stonebeak,255,None,255,None,255,None
0,a099a_05ep.enp,75,2,64,Graver,64,Graver,64,Graver,255,None,255,None,255,None,255,None,255,None
1,a099a_05ep.enp,70,2,64,Graver,64,Graver,12,Varkris,12,Varkris,255,None,255,None,255,None,255,None
2,a099a_05ep.enp,65,2,64,Graver,64,Graver,64,Graver,12,Varkris,12,Varkris,255,None,255,None,255,None
3,a099a_05ep.enp,84,2,64,Graver,64,Graver,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None
4,a099a_05ep.enp,84,2,64,Graver,64,Graver,64,Graver,36,Pinalisk,36,Pinalisk,36,Pinalisk,255,None,255,None
5,a099a_05ep.enp,84,2,64,Graver,64,Graver,12,Varkris,255,None,255,None,255,None,255,None,255,None
6,a099a_05ep.enp,79,2,64,Graver,64,Graver,64,Graver,12,Varkris,36,Pinalisk,255,None,255,None,255,None
7,a099a_05ep.enp,84,2,64,Graver,64,Graver,12,Varkris,36,Pinalisk,255,None,255,None,255,None,255,None
8,a099a_05ep.enp,104,2,41,Elooper,255,None,255,None,255,None,255,None,255,None,255,None,255,None
9,a099a_05ep.enp,104,2,41,Elooper,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None,255,None
10,a099a_05ep.enp,84,2,12,Varkris,12,Varkris,12,Varkris,255,None,255,None,255,None,255,None,255,None
11,a099a_05ep.enp,84,2,12,Varkris,12,Varkris,12,Varkris,12,Varkris,12,Varkris,255,None,255,None,255,None
12,a099a_05ep.enp,74,2,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None,255,None,255,None
13,a099a_05ep.enp,74,2,36,Pinalisk,36,Pinalisk,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None
14,a099a_05ep.enp,79,2,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,255,None,255,None,255,None
15,a099a_05ep.enp,79,2,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,255,None
16,a099a_05ep.enp,84,2,12,Varkris,12,Varkris,12,Varkris,12,Varkris,41,Elooper,255,None,255,None,255,None
17,a099a_05ep.enp,84,2,12,Varkris,12,Varkris,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None
18,a099a_05ep.enp,74,2,36,Pinalisk,36,Pinalisk,36,Pinalisk,41,Elooper,255,None,255,None,255,None,255,None
19,a099a_05ep.enp,74,2,36,Pinalisk,36,Pinalisk,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None
20,a099a_05ep.enp,79,2,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,41,Elooper,255,None
21,a099a_05ep.enp,79,2,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,41,Elooper,41,Elooper,255,None,255,None
22,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,36,Pinalisk,255,None,255,None,255,None,255,None,255,None
23,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,12,Varkris,36,Pinalisk,255,None,255,None,255,None,255,None
24,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,12,Varkris,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None
25,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,36,Pinalisk,41,Elooper,255,None,255,None,255,None,255,None
26,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,36,Pinalisk,36,Pinalisk,41,Elooper,41,Elooper,255,None,255,None
27,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,12,Varkris,36,Pinalisk,36,Pinalisk,41,Elooper,255,None,255,None
28,a099a_05ep.enp,84,2,12,Varkris,12,Varkris,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,255,None,255,None
29,a099a_05ep.enp,74,2,36,Pinalisk,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,255,None,255,None
30,a099a_05ep.enp,79,2,12,Varkris,36,Pinalisk,90,Tsorok,90,Tsorok,90,Tsorok,255,None,255,None,255,None
31,a099a_05ep.enp,79,2,12,Varkris,12,Varkris,36,Pinalisk,90,Tsorok,90,Tsorok,90,Tsorok,90,Tsorok,255,None
0,a099a_06ep.enp,104,2,41,Elooper,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a099a_06ep.enp,104,2,41,Elooper,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None,255,None
2,a099a_06ep.enp,84,2,12,Varkris,12,Varkris,12,Varkris,255,None,255,None,255,None,255,None,255,None
3,a099a_06ep.enp,84,2,12,Varkris,12,Varkris,12,Varkris,12,Varkris,12,Varkris,255,None,255,None,255,None
4,a099a_06ep.enp,74,2,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None,255,None,255,None
5,a099a_06ep.enp,74,2,36,Pinalisk,36,Pinalisk,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None
6,a099a_06ep.enp,91,2,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None,255,None,255,None
7,a099a_06ep.enp,91,2,92,Langry,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None,255,None
8,a099a_06ep.enp,91,2,92,Langry,92,Langry,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None
9,a099a_06ep.enp,84,2,12,Varkris,12,Varkris,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None
10,a099a_06ep.enp,74,2,36,Pinalisk,36,Pinalisk,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None
11,a099a_06ep.enp,91,2,92,Langry,92,Langry,92,Langry,92,Langry,41,Elooper,41,Elooper,255,None,255,None
12,a099a_06ep.enp,79,2,12,Varkris,12,Varkris,12,Varkris,36,Pinalisk,255,None,255,None,255,None,255,None
13,a099a_06ep.enp,79,2,12,Varkris,12,Varkris,12,Varkris,12,Varkris,36,Pinalisk,36,Pinalisk,255,None,255,None
14,a099a_06ep.enp,91,2,12,Varkris,92,Langry,92,Langry,92,Langry,255,None,255,None,255,None,255,None
15,a099a_06ep.enp,91,2,12,Varkris,12,Varkris,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None
16,a099a_06ep.enp,81,2,36,Pinalisk,92,Langry,92,Langry,92,Langry,255,None,255,None,255,None,255,None
17,a099a_06ep.enp,81,2,36,Pinalisk,92,Langry,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None
18,a099a_06ep.enp,79,2,12,Varkris,12,Varkris,36,Pinalisk,41,Elooper,255,None,255,None,255,None,255,None
19,a099a_06ep.enp,79,2,12,Varkris,92,Langry,92,Langry,92,Langry,92,Langry,41,Elooper,255,None,255,None
20,a099a_06ep.enp,81,2,36,Pinalisk,92,Langry,92,Langry,41,Elooper,255,None,255,None,255,None,255,None
21,a099a_06ep.enp,91,2,12,Varkris,36,Pinalisk,92,Langry,92,Langry,255,None,255,None,255,None,255,None
22,a099a_06ep.enp,91,2,12,Varkris,12,Varkris,36,Pinalisk,92,Langry,92,Langry,92,Langry,255,None,255,None
23,a099a_06ep.enp,86,2,40,Roseln,40,Roseln,255,None,255,None,255,None,255,None,255,None,255,None
24,a099a_06ep.enp,81,2,40,Roseln,40,Roseln,40,Roseln,255,None,255,None,255,None,255,None,255,None
25,a099a_06ep.enp,96,2,40,Roseln,41,Elooper,41,Elooper,255,None,255,None,255,None,255,None,255,None
26,a099a_06ep.enp,86,2,40,Roseln,12,Varkris,12,Varkris,12,Varkris,255,None,255,None,255,None,255,None
27,a099a_06ep.enp,86,2,40,Roseln,40,Roseln,12,Varkris,12,Varkris,255,None,255,None,255,None,255,None
28,a099a_06ep.enp,86,2,40,Roseln,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None,255,None
29,a099a_06ep.enp,86,2,40,Roseln,40,Roseln,36,Pinalisk,36,Pinalisk,255,None,255,None,255,None,255,None
30,a099a_06ep.enp,86,2,40,Roseln,92,Langry,92,Langry,255,None,255,None,255,None,255,None,255,None
31,a099a_06ep.enp,86,2,40,Roseln,92,Langry,92,Langry,92,Langry,92,Langry,255,None,255,None,255,None
0,a099a_07ep.enp,99,2,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,255,None,255,None,255,None,255,None
1,a099a_07ep.enp,99,2,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,255,None,255,None
2,a099a_07ep.enp,109,2,97,Razorbeak,97,Razorbeak,255,None,255,None,255,None,255,None,255,None,255,None
3,a099a_07ep.enp,109,2,97,Razorbeak,97,Razorbeak,97,Razorbeak,255,None,255,None,255,None,255,None,255,None
4,a099a_07ep.enp,124,2,109,Yulooper,255,None,255,None,255,None,255,None,255,None,255,None,255,None
5,a099a_07ep.enp,124,2,109,Yulooper,109,Yulooper,109,Yulooper,255,None,255,None,255,None,255,None,255,None
6,a099a_07ep.enp,104,2,109,Yulooper,109,Yulooper,109,Yulooper,109,Yulooper,109,Yulooper,109,Yulooper,109,Yulooper,255,None
7,a099a_07ep.enp,104,2,95,Thryllak,95,Thryllak,255,None,255,None,255,None,255,None,255,None,255,None
8,a099a_07ep.enp,104,2,95,Thryllak,95,Thryllak,95,Thryllak,95,Thryllak,255,None,255,None,255,None,255,None
9,a099a_07ep.enp,94,2,88,Scorpon,255,None,255,None,255,None,255,None,255,None,255,None,255,None
10,a099a_07ep.enp,94,2,88,Scorpon,88,Scorpon,88,Scorpon,255,None,255,None,255,None,255,None,255,None
11,a099a_07ep.enp,104,2,107,Jynnus,107,Jynnus,97,Razorbeak,255,None,255,None,255,None,255,None,255,None
12,a099a_07ep.enp,94,2,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,97,Razorbeak,97,Razorbeak,255,None,255,None
13,a099a_07ep.enp,104,2,107,Jynnus,107,Jynnus,107,Jynnus,107,Jynnus,109,Yulooper,255,None,255,None,255,None
14,a099a_07ep.enp,114,2,97,Razorbeak,97,Razorbeak,109,Yulooper,255,None,255,None,255,None,255,None,255,None
15,a099a_07ep.enp,99,2,95,Thryllak,95,Thryllak,88,Scorpon,255,None,255,None,255,None,255,None,255,None
16,a099a_07ep.enp,99,2,95,Thryllak,95,Thryllak,95,Thryllak,88,Scorpon,88,Scorpon,255,None,255,None,255,None
17,a099a_07ep.enp,109,2,95,Thryllak,95,Thryllak,95,Thryllak,109,Yulooper,255,None,255,None,255,None,255,None
18,a099a_07ep.enp,104,2,88,Scorpon,109,Yulooper,255,None,255,None,255,None,255,None,255,None,255,None
19,a099a_07ep.enp,109,2,107,Jynnus,107,Jynnus,97,Razorbeak,109,Yulooper,255,None,255,None,255,None,255,None
20,a099a_07ep.enp,109,2,107,Jynnus,107,Jynnus,107,Jynnus,97,Razorbeak,109,Yulooper,109,Yulooper,255,None,255,None
