Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],[EC1 EU Name],EC2 ID,[EC2 JP Name],[EC2 EU Name],EC3 ID,[EC3 JP Name],[EC3 EU Name],EC4 ID,[EC4 JP Name],[EC4 EU Name],EC5 ID,[EC5 JP Name],[EC5 EU Name],EC6 ID,[EC6 JP Name],[EC6 EU Name],EC7 ID,[EC7 JP Name],[EC7 EU Name],EC8 ID,[EC8 JP Name],[EC8 EU Name]
0,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
2,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None
3,a099a_01ep.enp,52,1,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,a099a_01ep.enp,52,1,29,Looper,Looper,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a099a_01ep.enp,27,1,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a099a_01ep.enp,12,1,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,a099a_01ep.enp,27,1,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
8,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,a099a_01ep.enp,27,1,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a099a_01ep.enp,27,1,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
11,a099a_01ep.enp,22,1,3,Marocca,Marocca,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,a099a_01ep.enp,22,1,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
13,a099a_01ep.enp,32,1,3,Marocca,Marocca,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
14,a099a_01ep.enp,32,1,3,Marocca,Marocca,3,Marocca,Marocca,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None
15,a099a_01ep.enp,27,1,3,Marocca,Marocca,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,a099a_01ep.enp,27,1,3,Marocca,Marocca,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
17,a099a_01ep.enp,22,1,4,Grouder,Grouder,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,a099a_01ep.enp,12,1,4,Grouder,Grouder,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
19,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
21,a099a_01ep.enp,22,1,4,Grouder,Grouder,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
22,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
24,a099a_01ep.enp,22,1,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
25,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
26,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
27,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
28,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,3,Marocca,Marocca,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None
29,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
30,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
31,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,3,Marocca,Marocca,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None
0,a099a_02ep.enp,34,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_02ep.enp,34,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a099a_02ep.enp,24,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None
3,a099a_02ep.enp,19,1,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,a099a_02ep.enp,19,1,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a099a_02ep.enp,14,1,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None
6,a099a_02ep.enp,34,1,18,Thorkryn,Thorkryn,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
7,a099a_02ep.enp,34,1,18,Thorkryn,Thorkryn,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None
8,a099a_02ep.enp,34,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
9,a099a_02ep.enp,24,1,19,Scorfly,Scorfly,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a099a_02ep.enp,24,1,19,Scorfly,Scorfly,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None
11,a099a_02ep.enp,24,1,19,Scorfly,Scorfly,19,Scorfly,Scorfly,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None
12,a099a_02ep.enp,34,1,4,Grouder,Grouder,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
13,a099a_02ep.enp,34,1,4,Grouder,Grouder,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,255,None,None,255,None,None,255,None,None,255,None,None
14,a099a_02ep.enp,24,1,4,Grouder,Grouder,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
15,a099a_02ep.enp,14,1,4,Grouder,Grouder,4,Grouder,Grouder,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
16,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
17,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
19,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
20,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
21,a099a_02ep.enp,14,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None
22,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None
24,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None
25,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,19,Scorfly,Scorfly,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None
26,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
27,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
28,a099a_02ep.enp,29,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,4,Grouder,Grouder,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
29,a099a_02ep.enp,19,1,18,Thorkryn,Thorkryn,19,Scorfly,Scorfly,19,Scorfly,Scorfly,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None
30,a099a_02ep.enp,42,1,17,Tsirat,Tsirat,17,Tsirat,Tsirat,17,Tsirat,Tsirat,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
31,a099a_02ep.enp,42,1,17,Tsirat,Tsirat,17,Tsirat,Tsirat,17,Tsirat,Tsirat,17,Tsirat,Tsirat,17,Tsirat,Tsirat,255,None,None,255,None,None,255,None,None
0,a099a_03ep.enp,32,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_03ep.enp,32,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,255,None,None,255,None,None
2,a099a_03ep.enp,42,1,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a099a_03ep.enp,42,1,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,a099a_03ep.enp,57,1,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a099a_03ep.enp,57,1,30,Loopalon,Loopalon,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a099a_03ep.enp,27,1,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,a099a_03ep.enp,27,1,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None
8,a099a_03ep.enp,17,1,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None
9,a099a_03ep.enp,37,1,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a099a_03ep.enp,27,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,255,None,None,255,None,None,255,None,None,255,None,None
11,a099a_03ep.enp,17,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,255,None,None,255,None,None
12,a099a_03ep.enp,42,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
13,a099a_03ep.enp,32,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,13,Azbeth,Azbeth,30,Loopalon,Loopalon,255,None,None,255,None,None
14,a099a_03ep.enp,27,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None
15,a099a_03ep.enp,27,1,13,Azbeth,Azbeth,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,a099a_03ep.enp,27,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None
17,a099a_03ep.enp,47,1,96,Stonebeak,Ballista Rostram,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,a099a_03ep.enp,47,1,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
19,a099a_03ep.enp,37,1,96,Stonebeak,Ballista Rostram,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,a099a_03ep.enp,37,1,96,Stonebeak,Ballista Rostram,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None
21,a099a_03ep.enp,37,1,96,Stonebeak,Ballista Rostram,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None
22,a099a_03ep.enp,37,1,30,Loopalon,Loopalon,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,a099a_03ep.enp,37,1,30,Loopalon,Loopalon,30,Loopalon,Loopalon,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None
24,a099a_03ep.enp,37,1,30,Loopalon,Loopalon,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
25,a099a_03ep.enp,27,1,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None
26,a099a_03ep.enp,37,1,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
27,a099a_03ep.enp,37,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
28,a099a_03ep.enp,32,1,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,93,Durel Beetle,Scarabée,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
29,a099a_03ep.enp,32,1,13,Azbeth,Azbeth,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,96,Stonebeak,Ballista Rostram,93,Durel Beetle,Scarabée,93,Durel Beetle,Scarabée,255,None,None,255,None,None
30,a099a_03ep.enp,27,1,13,Azbeth,Azbeth,96,Stonebeak,Ballista Rostram,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None,255,None,None,255,None,None
31,a099a_03ep.enp,32,1,30,Loopalon,Loopalon,93,Durel Beetle,Scarabée,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,19,Scorfly,Scorfly,255,None,None,255,None,None
0,a099a_04ep.enp,34,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_04ep.enp,34,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None,255,None,None,255,None,None
2,a099a_04ep.enp,29,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None,255,None,None
3,a099a_04ep.enp,24,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None
4,a099a_04ep.enp,19,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None
5,a099a_04ep.enp,39,1,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a099a_04ep.enp,34,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None
7,a099a_04ep.enp,39,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,255,None,None
8,a099a_04ep.enp,39,1,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None,255,None,None
9,a099a_04ep.enp,29,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None,255,None,None
10,a099a_04ep.enp,39,1,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None,255,None,None,255,None,None
11,a099a_04ep.enp,29,1,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,30,Loopalon,Loopalon,30,Loopalon,Loopalon,30,Loopalon,Loopalon,255,None,None
0,a099a_05ep.enp,34,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_05ep.enp,29,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None,255,None,None
2,a099a_05ep.enp,24,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,255,None,None,255,None,None
3,a099a_05ep.enp,43,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,41,Elooper,Elooper,255,None,None,255,None,None,255,None,None
4,a099a_05ep.enp,43,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,41,Elooper,Elooper,255,None,None
5,a099a_05ep.enp,43,2,64,Graver,Graver,64,Graver,Graver,41,Elooper,Elooper,41,Elooper,Elooper,255,None,None,255,None,None,255,None,None,255,None,None
6,a099a_05ep.enp,38,2,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,64,Graver,Graver,41,Elooper,Elooper,41,Elooper,Elooper,255,None,None,255,None,None
7,a099a_05ep.enp,43,2,64,Graver,Graver,64,Graver,Graver,41,Elooper,Elooper,41,Elooper,Elooper,41,Elooper,Elooper,255,None,None,255,None,None,255,None,None
8,a099a_05ep.enp,63,2,41,Elooper,Elooper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,a099a_05ep.enp,63,2,41,Elooper,Elooper,41,Elooper,Elooper,41,Elooper,Elooper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a099a_05ep.enp,43,2,12,Varkris,Varkris,12,Varkris,Varkris,12,Varkris,Varkris,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
11,a099a_05ep.enp,43,2,12,Varkris,Varkris,12,Varkris,Varkris,12,Varkris,Varkris,12,Varkris,Varkris,12,Varkris,Varkris,255,None,None,255,None,None,255,None,None
12,a099a_05ep.enp,33,2,36,Pinalisk,Pinalisk,36,Pinalisk,Pinalisk,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
