Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str,[Ship DE Descr Pos],[Ship DE Descr Size],Ship DE Descr Str,[Ship ES Descr Pos],[Ship ES Descr Size],Ship ES Descr Str,[Ship FR Descr Pos],[Ship FR Descr Size],Ship FR Descr Str,[Ship GB Descr Pos],[Ship GB Descr Size],Ship GB Descr Str
10,0x8034fae8,0x1cc84,5,Noxi,0x1c8d7,5,Noxi,0x1cb47,5,Noxi,0x1c33e,5,Noxi,0,Green,0,50,0b0010,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,2,0,0,60,1,Magical,0,Poison,30,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x113b9,95,Schädigt und vergiftet einen Feind. Am besten\\nzu Beginn langer Kämpfe verwenden.         2 SP,0x110c1,99,Debilita y envenena a uno de los enemigos. Mejor\\nusarlo al principio de una batalla larga.   2 PE,0x110e8,93,Blesse et empoisonne un ennemi. Mieux vau\\nl'utiliser au début de longues batailles.   2 ES ,0x10cf0,97,Damages and Poisons any one enemy. Best if used\\nat the beginning of long battles.          2 SP,0x1b924,30,Kann nicht benutzt werden.   ,0x1b555,20,No puede usarse.   ,0x1b71e,25,Ne peut être utilisé.   ,0x1b05c,24,Cannot be used.        
11,0x8034faf0,0x1cc89,6,Noxus,0x1c8dc,6,Noxus,0x1cb4c,6,Noxus,0x1c343,6,Noxus,0,Green,0,51,0b0010,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,110,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11418,95,Schädigt und vergiftet alle Feinde. Am besten\\nzu Beginn langer Kämpfe verwenden.         6 SP,0x11124,98,Debilita y envenena a todos los enemigos. Mejor\\nusarlo al principio de una batalla larga.   6 PE,0x11145,99,Blesse & empoisonne tous les ennemis. Mieux vau\\nl'utiliser au début de longues batailles.   6 ES ,0x10d51,95,Damages and Poisons all enemies. Best if used\\nat the beginning of long battles.          6 SP,0x1b942,30,Kann nicht benutzt werden.   ,0x1b569,21,No puede usarse.    ,0x1b737,25,Ne peut être utilisé.   ,0x1b074,24,Cannot be used.        
12,0x8034faf8,0x1cc8f,8,Slipara,0x1c8e2,8,Slipara,0x1cb52,8,Slipara,0x1c349,8,Slipara,3,Blue,0,110,0b0010,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,1,Magical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11477,91,Lässt mit etwas Glück alle Feinde auf dem\\nBildschirm in tiefsten Schlaf sinken.      6 SP,0x11186,93,Hace que todos los enemigos en pantalla se\\nduerman.                                    6 PE,0x111a8,99,Offre la possibilité d'endormir tous les ennemi\\nà l'écran.                                  6 ES ,0x10db0,94,Has a chance to put all enemies on screen to\\nSleep.                                     6 SP,0x1b960,30,Kann nicht benutzt werden.   ,0x1b57e,21,No puede usarse.    ,0x1b750,25,Ne peut être utilisé.   ,0x1b08c,24,Cannot be used.        
13,0x8034fb00,0x1cc97,6,Quika,0x1c8ea,6,Quika,0x1cb5a,6,Quika,0x1c351,6,Quika,3,Blue,0,70,0b0011,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,6,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,2,1,0,-1,0,0,0,0x114d2,87,Verdoppelt die Geschwindigkeit aller\\nVerbündeten. Erleichtert die Flucht.       6 SP ,0x111e3,99,Dobla la velocidad de todos los aliados. También\\nhace más fácil huir de las batallas.        6 PE,0x1120b,95,"Double la vitesse de tous les alliés, ce qu\\npermet aussi de fuir plus vite les combats. 6 ES ",0x10e0e,97,"Doubles the speed of all allies. Also, it makes\\nit easier to run from battles.             6 SP",0x1b97e,91,Verdoppelt Geschwindigkeit des Schiffes.\\nEffekt hält für 1 Durchgang an.            2 SP ,0x1b593,80,Dobla la velocidad del barco\\nEl efecto dura 1 turno.                     2 PE ,0x1b769,79,Double la vitesse du navire.\\nLes effets durent 1 tour.                  2 ES ,0x1b0a4,70,Doubles ship speed.\\nEffect lasts for 1 turn.                   2 SP 
14,0x8034fb08,0x1cc9d,6,Curia,0x1c8f0,6,Curia,0x1cb60,6,Curia,0x1c357,6,Curia,5,Silver,0,80,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,1,0,0,0,1,Magical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11529,95,Kuriert einen Verbündeten von allen negativen\\nEffekten (außer Bewusstlosigkeit).         1 SP,0x11246,88,Cura a un aliado de todos los efectos\\nadversos (excepto Inconsciencia).           1 PE,0x1126a,94,Guérit un allié de tous les effets néfaste\\n(à part l'Inconscience).                    1 ES ,0x10e6f,96,Cures one ally of all adverse effects (except\\nfor Unconscious).                          1 SP ,0x1b9d9,30,Kann nicht benutzt werden.   ,0x1b5e3,20,No puede usarse.   ,0x1b7b8,25,Ne peut être utilisé.   ,0x1b0ea,24,Cannot be used.        
15,0x8034fb10,0x1cca3,6,Risan,0x1c8f6,6,Risan,0x1cb66,6,Risan,0x1c35d,6,Risan,5,Silver,0,90,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,6,Magic,0,2,0,0,0,1,Magical,7,Revival,-1,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11588,97,"90% Wahrscheinlichkeit, einen bewusstlosen Ver-\\nbündeten mit 50% seiner HP aufzuwecken.    2 SP",0x1129e,99,Puede revivir en un 90% a un aliad\\ninconsciente y reponer el 50% PS.           2 PE              ,0x112c8,99,90% de chance de ranimer un allié Inconscient\\net de lui redonner 50% de ses PV.           2 ES   ,0x10ecf,99,"Has a 90% chance of reviving an Unconscious\\nally, along with 50% of their HP.          2 SP      ",0x1b9f7,30,Kann nicht benutzt werden.   ,0x1b5f7,20,No puede usarse.   ,0x1b7d1,25,Ne peut être utilisé.   ,0x1b102,24,Cannot be used.        
16,0x8034fb18,0x1cca9,8,Riselem,0x1c8fc,8,Riselem,0x1cb6c,8,Riselem,0x1c363,8,Riselem,5,Silver,0,91,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,6,Magic,0,3,0,0,0,1,Magical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x115e9,94,Weckt einen bewusstlosen Verbündeten auf und\\nerneuert seine gesamten HP.                3 SP,0x11301,82,Revive a un aliado inconscient\\ny repone su PS totalmente.                  3 PE ,0x1132b,98,Ranime un allié Inconscient et lui redonne tou\\nses PV.                                     3 ES ,0x10f32,96,Revives an Unconscious ally and restores their\\nHP to full.                                3 SP,0x1ba15,30,Kann nicht benutzt werden.   ,0x1b60b,20,No puede usarse.   ,0x1b7ea,25,Ne peut être utilisé.   ,0x1b11a,24,Cannot be used.        
17,0x8034fb20,0x1ccb1,7,Eterni,0x1c904,7,Eterni,0x1cb74,7,Eterni,0x1c36b,7,Eterni,5,Silver,0,100,0b0010,"",X,"",68,Unconscious + Damage B,3,Single EC,6,Magic,0,2,0,0,60,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11647,94,Kann einen Feind auf der Stelle töten. Wirkt\\nbei mächtigen Feinden evtl. nicht.         2 SP,0x11353,98,"Mata instantáneamente a cualquier enemigo, pero\\npuede fallar con monstruos o grandes jefes. 2 PE",0x1138d,100,Peut tuer instantanément un des ennemis. Mais pa\\nforcément un chef ou un monstre puissant.   2 ES ,0x10f92,96,Can instantly kill any one enemy. May not work\\non some powerful monsters or bosses.       2 SP,0x1ba33,30,Kann nicht benutzt werden.   ,0x1b61f,20,No puede usarse.   ,0x1b803,25,Ne peut être utilisé.   ,0x1b132,24,Cannot be used.        
18,0x8034fb28,0x1ccb8,8,Eternes,0x1c90b,8,Eternes,0x1cb7b,8,Eternes,0x1c372,8,Eternes,5,Silver,0,101,0b0010,"",X,"",68,Unconscious + Damage B,4,All ECs,6,Magic,0,8,0,0,180,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x116a5,94,Kann alle Feinde auf dem Bildschirm auf der\\nStelle töten.                             10 SP ,0x113b5,99,Causa la muerte instantánea a todos los enemigos\\nen pantalla.                                8 PE,0x113f1,94,Peut causer la mort instantanée de tous le\\nennemis à l'écran.                          8 ES ,0x10ff2,96,Can cause instant death to all enemies on the\\nscreen.                                    8 SP ,0x1ba51,30,Kann nicht benutzt werden.   ,0x1b633,20,No puede usarse.   ,0x1b81c,25,Ne peut être utilisé.   ,0x1b14a,24,Cannot be used.        
19,0x8034fb30,0x1ccc0,8,Eternum,0x1c913,8,Eternum,0x1cb83,8,Eternum,0x1c37a,8,Eternum,5,Silver,0,102,0b0010,"",X,"",68,Unconscious + Damage B,3,Single EC,6,Magic,0,4,0,0,210,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11703,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\\nZiel immun, richtet es Schaden an.         6 SP ",0x11418,99,"Causa la muerte instantánea de un enemigo. Si el\\nobjetivo es inmune, le provocará daños.     4 PE",0x1144f,99,"Cause la mort immédiate d'un ennemi. Si la cibl\\nest immunisée, elle subira des dégâts.      4 ES ",0x11052,98,"Causes instant death to one enemy. If target is\\nimmune, then it will cause damage.         4 SP ",0x1ba6f,30,Kann nicht benutzt werden.   ,0x1b647,20,No puede usarse.   ,0x1b835,25,Ne peut être utilisé.   ,0x1b162,24,Cannot be used.        
20,0x8034fb38,0x1ccc8,6,Wevli,0x1c91b,6,Wevli,0x1cb8b,6,Wevli,0x1c382,6,Wevli,3,Blue,0,60,0b0011,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,4,0,0,0,0x11763,95,Schädigt einen und nahe Feinde mit einem\\nWirbelwind.                                2 SP     ,0x1147b,95,Hiere a un enemigo con un torbellino de aire\\ny agua. También hiere a enemigos próximos.  2 PE,0x114b2,85,Blesse un ennemi avec une tornade\\nAtteint aussi les ennemis proches.          2 ES ,0x110b4,95,Damages one enemy with a whirlwind of air and\\nwater. Also harms nearby enemies.          2 SP,0x1ba8d,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.           1 SP ,0x1b65b,99,Dispara una bala de cañón con Magia Azul. Lanza\\nhechizos requiere un equipo especial.       1 PE ,0x1b84e,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  1 ES,0x1b17a,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.       1 SP 
21,0x8034fb40,0x1ccce,7,Wevles,0x1c921,7,Wevles,0x1cb91,7,Wevles,0x1c388,7,Wevles,3,Blue,0,61,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,110,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,80,4,0,0,0,0x117c2,96,Löst eine gewaltige Explosion aus und schädigt\\nalle Feinde auf dem Bildschirm.            4 SP,0x114da,98,Crea un tornado largo alrededor de un enemigo y\\nhiere a todos los enemigos a su alrededor.  4 PE,0x11507,96,Crée une grande tornade autour d'un ennemi e\\nblesse tous les ennemis proches.            4 ES ,0x11113,94,Creates a large tornado around one enemy and\\ndamages all enemies nearby.                4 SP,0x1baf0,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.           3 SP ,0x1b6be,99,Dispara una bala de cañón con Magia Azul. Lanza\\nhechizos requiere un equipo especial.       3 PE ,0x1b8b0,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  3 ES,0x1b1d8,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.       3 SP 
22,0x8034fb48,0x1ccd5,7,Wevlen,0x1c928,7,Wevlen,0x1cb98,7,Wevlen,0x1c38f,7,Wevlen,3,Blue,0,63,0b0011,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,210,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage,5,-1,180,4,0,0,0,0x11822,98,Erzeugt ein Bündel von Tornados um einen Feind\\nund schädigt fast alle Feinde.             8 SP  ,0x1153c,98,Crea un tornado alrededor de un enemigo y hiere\\na casi todos los enemigos en pantalla.      8 PE,0x11567,96,Crée plusieurs tornades autour d'un ennemi e\\nblesse de nombreux ennemis à l'écran.       8 ES ,0x11171,96,Creates a cluster of tornados around one enemy\\nand damages nearly all enemies on screen.  8 SP,0x1bb53,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.           5 SP ,0x1b721,99,Dispara una bala de cañón con Magia Azul. Lanza\\nhechizos requiere un equipo especial.       5 PE ,0x1b912,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  5 ES,0x1b236,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.       5 SP 
23,0x8034fb50,0x1ccdc,5,Pyri,0x1c92f,5,Pyri,0x1cb9f,5,Pyri,0x1c396,5,Pyri,1,Red,0,0,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,30,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,1,0,0,0,0x11884,95,"Entfacht eine Feuerexplosion, die alle Feinde\\nauf dem Bildschirm schädigt.               2 SP",0x1159e,94,"Produce una explosión de llamas, hiriendo a\\ntodos los enemigos en pantalla.             2 PE",0x115c7,94,"Provoque une explosion de flammes, blessan\\ntous les ennemis à l'écran.                 2 ES ",0x111d1,97,"Summons a burst of flames, damaging all enemies\\non screen.                                 2 SP",0x1bbb6,98,Feuert eine mit Red Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.           1 SP ,0x1b784,99,Dispara una bala de cañón con Magia Roja. Lanza\\nhechizos requiere un equipo especial.       1 PE ,0x1b974,98,Lance un boulet de canon chargé de Magie Rouge.\\nÉquipement spécial requis.                  1 ES,0x1b294,93,Fires a cannonball charged with Red Magic.\\nSpecial equipment is needed to cast.       1 SP 
