Entry ID,US entry name,Element ID,[Element name],O. by importance,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #0,Padding #6,Padding #7,Padding #8,[US descr. pos.],[US descr. size],US descr. str.
49,The Claudia,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914496,96,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.
50,Counterstrike,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914592,96,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn."
51,Skull Shield,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914688,100,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew.
52,Delta Shield,6,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,8,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914788,96,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)
53,Epsilon Mirror,6,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914884,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.
54,Lunar Blessing,6,Neutral,320,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914980,100,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.
55,Lunar Cleansing,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915080,92,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.
56,Lunar Light,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915172,92,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies."
57,Spirit Charge,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915264,92,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks."
58,Justice Shield,6,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,16,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915356,96,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.
59,Aura of Denial,6,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,12,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915452,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.
60,Blue Rogues,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,40,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915548,96,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.
61,Prophecy,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,40,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915644,96,Combines the power of all 4 party members to\ncall upon an ancient power.
