Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[M],[B],[S],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[US descr. pos.],[US descr. size],US descr. str.,[US ship descr. pos.],[US ship descr. size],US ship descr. str.
19,Eternum,5,Silver,102,0x2,"",X,"",68,Add Unconscious + Damage #2,3,One enemy,6,Magic,0,6,0,0,240,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6d80,100,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.              ",0x0,0,""
20,Wevli,3,Blue,60,0x3,"",X,X,0,Damage,32,Enemy area #0,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,0x2c6de4,96,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.             ,0x2d0904,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.            
21,Wevles,3,Blue,61,0x3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,4,0,0,105,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,0x2c6e44,96,Creates a large tornado around one enemy and\ndamages all enemies nearby.                    ,0x2d0964,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.            
22,Wevlen,3,Blue,63,0x3,"",X,X,0,Damage,34,Enemy area #2,6,Magic,0,8,0,0,195,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,0x2c6ea4,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.    ,0x2d09c4,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.            
23,Pyri,1,Red,0,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,30,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,0x2c6f04,96,"Summons a burst of flames, damaging all enemies\non screen.                                  ",0x2d0a24,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.         
24,Pyres,1,Red,1,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,65,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,0x2c6f64,92,Summons a great explosion and damages all\nenemies on screen.                            ,0x2d0a80,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.         
25,Pyrum,1,Red,2,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,0x2c6fc0,92,Summons fireballs from the sky and damages\nall enemies on the screen.                   ,0x2d0adc,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.         
26,Crystali,2,Purple,10,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,0x2c701c,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.        ,0x2d0b38,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.          
27,Crystales,2,Purple,11,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,110,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,0x2c7078,96,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.       ",0x2d0b98,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.          
28,Crystalum,2,Purple,12,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,160,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,0x2c70d8,100,"Traps a single enemy in a column of ice, causing\nan extensive amount of damage.                 ",0x2d0bf8,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.          
29,Crystalen,2,Purple,13,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,210,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,0x2c713c,96,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.              ,0x2d0c58,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.          
30,Pyrulen,1,Red,3,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,135,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,0x2c719c,96,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.                       ,0x2d0cb8,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.         
31,Wevlum,3,Blue,62,0x3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,0x2c71fc,96,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.        ,0x2d0d14,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.            
32,Electri,4,Yellow,30,0x3,"",X,X,0,Damage,36,Enemy line #0,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,0x2c725c,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.             ",0x2d0d74,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.          
33,Electres,4,Yellow,31,0x3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,4,0,0,105,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,0x2c72bc,100,Sends a lightning bolt through a line of enemies\ncausing major damage.                          ,0x2d0dd4,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.          
34,Electrum,4,Yellow,32,0x3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,0x2c7320,96,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.          ,0x2d0e34,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.          
35,Electrulen,4,Yellow,33,0x3,"",X,X,0,Damage,38,Enemy line #2,6,Magic,0,8,0,0,195,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,0x2c7380,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.    ,0x2d0e94,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.          
