Entry ID,[Entry Name],[Finalized],MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[Arm 1 Name Str],Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[Arm 2 Name Str],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[Arm 3 Name Str],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[Arm 4 Name Str],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
10,Gregorio Gunboat,False,30000,120,270,300,70,5,10,10,8,8,10,7,10,Main Cannon,0,Main Cannon,270,0,90,6,Neutral,Fragmenter Gun,1,Sec Cannon,220,3,85,6,Neutral,Blast Charge,2,Torpedo,250,3,70,6,Neutral,-,-1,None,-1,-1,-1,-1,None,3390,1685,0,100%,483,Shredder Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
11,Lynx,Undefined,30000,90,40,150,60,30,10,10,5,5,12,3,10,Lynx Cannon,0,Main Cannon,140,0,90,6,Neutral,Lynx Subcannon,1,Sec Cannon,110,2,88,6,Neutral,Lynx Torpedo,2,Torpedo,160,2,60,6,Neutral,-,-1,None,-1,-1,-1,-1,None,1004,2388,0,100%,496,Captain's Stripe,0,100%,509,Magic Cannon,0,100%,411,"3""Blaster"
12,Chameleon,Undefined,30000,100,50,140,70,20,15,10,10,10,20,5,10,Revolver Cannon,0,Main Cannon,180,0,90,6,Neutral,Type D Subcannon,1,Sec Cannon,120,2,80,6,Neutral,Type D Torpedo,2,Torpedo,150,2,70,6,Neutral,Flamethrower,3,Special,450,0,-1,6,Neutral,1740,1933,0,100%,496,Captain's Stripe,0,100%,491,Deluxe Kit,0,100%,404,B-Type Cannon
13,Chameleon,Undefined,30000,150,100,150,80,20,15,8,10,10,15,5,12,Handgun,0,Main Cannon,220,0,100,6,Neutral,Type D Subcannon,1,Sec Cannon,160,2,90,6,Neutral,Type D Torpedo,2,Torpedo,190,2,80,6,Neutral,Test Cannon,3,Special,700,0,-1,6,Neutral,5213,2388,0,100%,496,Captain's Stripe,0,100%,497,Apa Wax,0,100%,423,Hunter Torpedo
14,Chameleon,False,30000,200,150,380,120,20,30,3,3,3,3,0,3,Chameleon Cannon,0,Main Cannon,300,0,60,6,Neutral,De Loco Cannon,1,Sec Cannon,250,2,70,6,Neutral,De Loco Torpedo,2,Torpedo,550,3,70,6,Neutral,De Loco Harpoon,-1,None,-1,-1,-1,-1,None,15950,7160,0,100%,496,Captain's Stripe,0,100%,455,Twin Turbo,0,100%,506,Magic Shell
15,カット１５,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,Auriga,False,50000,250,300,300,80,15,5,9,5,5,9,3,9,AP Cannon,0,Main Cannon,300,0,87,6,Neutral,Fragment Gun,1,Sec Cannon,250,2,87,6,Neutral,Blast Charge,2,Torpedo,300,2,80,6,Neutral,Hull Ram,3,Special,500,0,-1,6,Neutral,10290,5041,0,100%,496,Captain's Stripe,0,100%,464,Heavy Armor Deck,0,100%,414,"12""Cannon"
17,Draco,False,45000,240,125,300,100,15,10,10,10,8,11,11,10,-,-1,None,-1,-1,-1,-1,None,Secondary Cannon,1,Sec Cannon,300,0,80,6,Neutral,Piercing Torpedo,2,Torpedo,500,2,80,6,Neutral,Draco Cannon,3,Special,680,0,-1,6,Neutral,12980,5825,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
18,Hydra,False,200000,280,300,370,200,15,5,10,10,10,10,0,10,Hydra Launcher,0,Main Cannon,350,0,70,6,Neutral,Hydra Subcannon,1,Sec Cannon,360,1,80,6,Neutral,Hydra Ray,1,Sec Cannon,370,2,80,6,Neutral,Hydra Cannon,3,Special,700,0,-1,6,Neutral,27770,12187,0,100%,496,Captain's Stripe,0,100%,432,Moon Cannon,6,Kalifa,434,Moon Torpedo
19,カット１９,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Cannon,-1,None,-1,-1,-1,-1,None,Fire Arrow,-1,None,-1,-1,-1,-1,None,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,カット２０,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Cannon,-1,None,-1,-1,-1,-1,None,Fire Arrow,-1,None,-1,-1,-1,-1,None,Houroku Torpedo,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,Black Pirates,Undefined,10000,40,30,50,60,8,25,8,8,12,12,10,10,Black Cannon,0,Main Cannon,160,0,70,6,Neutral,Black Torpedo,2,Torpedo,190,1,60,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,75,307,3,20%,480,Bomb,3,20%,440,Rogue Figure,-1,None,-1,None
22,Spell Pirates,Undefined,12000,140,120,220,80,8,15,8,8,8,8,8,10,Black Cannon,0,Main Cannon,180,0,80,6,Neutral,Black Torpedo,2,Torpedo,210,1,70,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,361,602,3,20%,484,Pyro Bomb,-1,None,-1,None,-1,None,-1,None
23,Blackbeard,True,8000,115,10,10,40,10,10,8,8,12,12,10,10,Black Cannon,0,Main Cannon,130,0,80,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,15,149,0,100%,496,Captain's Stripe,0,100%,439,Kazai Gun,-1,None,-1,None
24,Recumen,Undefined,100000,150,0,200,40,0,1,8,0,12,12,10,10,Red Ray,3,Special,320,0,-1,6,Neutral,Red Ray,-1,None,-1,-1,-1,-1,None,Red Ray,-1,None,-1,-1,-1,-1,None,Red Ray,-1,None,-1,-1,-1,-1,None,0,0,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,Grendel,Undefined,110000,200,100,80,75,10,1,0,12,8,8,12,10,Fist of Grendel,3,Special,240,0,-1,6,Neutral,Boulder Throw,3,Special,290,0,-1,6,Neutral,Stomp,3,Special,410,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,7192,2657,0,100%,496,Captain's Stripe,0,100%,30,Grendel Wing,0,100%,491,Deluxe Kit
26,Bluheim,False,100000,350,200,350,130,10,70,10,15,10,0,10,10,Blue Winds,3,Special,250,0,-1,6,Neutral,Blue Lightning,3,Special,300,0,-1,6,Neutral,Phoenix Ray,3,Special,450,0,-1,6,Neutral,Blue Winds,3,Special,200,0,-1,6,Neutral,17140,8386,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
27,Yeligar,False,150000,400,100,330,80,5,2,10,10,10,10,0,10,Voltigar,3,Special,330,0,-1,6,Neutral,Photon Charge,3,Special,300,0,-1,6,Neutral,Thunder Crash,3,Special,500,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,19050,8479,0,100%,496,Captain's Stripe,0,100%,5,Thunder Cutlass,-1,None,-1,None
28,Zelos,False,240000,240,300,350,250,30,20,8,8,8,8,8,0,Moon Ray,3,Special,800,0,-1,6,Neutral,Great Moon Ray,3,Special,900,0,-1,6,Neutral,Moon Lament,3,Special,1000,0,-1,6,Neutral,Judgement,3,Special,1300,1,-1,6,Neutral,33590,0,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
29,Anguila,False,56000,300,100,100,80,10,5,10,25,10,10,10,10,Poison Spray,3,Special,250,0,-1,6,Neutral,Bite,3,Special,300,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,10830,5564,0,100%,482,Concussion Bomb,0,100%,425,Heavy Torpedo,7,Osman,456,Timing Valve
30,Raja,False,15000,270,50,100,80,10,45,10,10,15,10,5,10,Luminesce,3,Special,230,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,2630,1122,4,50%,491,Deluxe Kit,6,Kalifa,508,Crystal Ball,2,10%,475,Soundproofing
31,Raja Embla,False,25000,300,100,150,120,15,45,10,10,15,10,3,10,Luminesce,3,Special,270,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,2630,1114,4,50%,493,Complete Kit,7,Osman,507,Gold Bullion,-1,None,-1,None
32,Obispo,False,60000,220,200,300,80,10,18,8,13,10,15,10,10,Squid Ink,3,Special,250,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,11480,5540,0,100%,465,Alloy Deck,7,Osman,508,Crystal Ball,-1,None,-1,None
33,カット３３,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
34,カット３４,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
35,Roc,False,45000,50,150,300,90,6,23,10,13,10,10,15,10,Blast Voice,3,Special,300,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,Grab,3,Special,400,0,-1,6,Neutral,13580,6846,6,Kalifa,478,Wooden Doll,7,Osman,507,Gold Bullion,-1,None,-1,None
36,Giant Looper,False,30000,999,260,999,130,15,50,10,10,10,10,10,10,Looper Ring,3,Special,500,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,28580,13235,0,100%,495,Thermal Grease,0,100%,496,Captain's Stripe,0,100%,505,Hex Shell
37,Alania,False,52000,250,200,250,85,10,80,10,15,1,8,10,5,Spiral,3,Special,280,0,-1,6,Neutral,Shaggy,3,Special,220,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,14290,6594,6,Kalifa,447,Goddess Figure,6,Kalifa,473,Air Purifier,-1,None,-1,None
38,Fortress Gates,False,200000,350,999,999,0,10,1,10,10,10,10,10,10,Small Cannon,0,Main Cannon,500,2,80,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,5630,3089,0,100%,494,Gear Grease,-1,None,-1,None,-1,None,-1,None
39,カット３９,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
40,Gadianos,False,15000,999,100,999,235,25,30,10,10,10,10,10,10,Jeda Beam,3,Special,300,0,-1,6,Neutral,Jedos Ray,3,Special,450,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,6120,2524,0,100%,493,Complete Kit,0,100%,469,Sparkling Deck,0,100%,433,Moon Gun
41,Gaditaos,False,15000,999,150,999,235,25,45,10,10,10,10,10,10,Jeda Beam,3,Special,350,0,-1,6,Neutral,Jedos Ray,3,Special,500,0,-1,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,6120,2595,0,100%,493,Complete Kit,0,100%,469,Sparkling Deck,-1,None,-1,None
42,カット４２,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
43,The Blackbeard,False,15000,100,200,90,100,30,20,3,3,3,3,3,3,Vega Cannon Plus,0,Main Cannon,350,0,85,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,5520,2326,0,100%,456,Timing Valve,0,100%,449,Spherical Figure,0,100%,500,Hybrid Wax
44,Tenkou Spellship,False,25000,250,300,300,90,20,3,7,7,7,7,7,7,Cannon,0,Main Cannon,250,0,80,6,Neutral,Fire Arrow,1,Sec Cannon,220,2,75,6,Neutral,Houroku Torpedo,2,Torpedo,250,3,60,6,Neutral,-,-1,None,-1,-1,-1,-1,None,1910,875,0,100%,484,Pyro Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
