Entry ID,[Location],[Finalized],Item ID,[Item Name],Item Amount
85,Grand Fortress,False,248,Unholy Dagger,1
86,Grand Fortress,False,258,Moonberry,1
87,Mount Kazai,False,256,Windsong Orb,1
88,Mount Kazai,False,258,Moonberry,1
89,The Dark Rift,False,11,Dream Cutlass,1
90,The Dark Rift,False,266,Magus Seed,1
91,The Dark Rift,False,129,Moss Armor,1
92,The Dark Rift,False,258,Moonberry,1
93,The Dark Rift,False,255,Chalice of Blood,1
94,The Dark Rift,False,246,Aura of Valor,1
95,The Dark Rift,False,523,Gold,2731
96,The Dark Rift,False,258,Moonberry,1
97,Glacia,False,19,Ice Splitter,1
98,Glacia,False,257,Winter Orb,1
99,Glacia,False,62,Frostblade,1
100,Glacia,False,258,Moonberry,1
101,Glacia,False,258,Moonberry,1
102,Hydra,False,245,Magic Dew,2
103,Dangral Island,False,525,Gold,4000
104,Dangral Island,False,258,Moonberry,1
105,Dangral Island,False,242,Sacrum Crystal,2
106,Hydra,False,409,X Cannon,1
107,Dangral Island,False,60,Imperial Blade,1
108,Hydra,False,243,Sacrulen Crystal,3
109,Hydra,False,258,Moonberry,1
110,Soltis,False,293,Orb of Serenity,1
111,Soltis,False,258,Moonberry,1
112,Soltis,False,258,Moonberry,1
113,Maw of Tartas,False,263,Dexus Seed,1
114,Maw of Tartas,False,258,Moonberry,1
115,Catacombs,True,240,Sacri Crystal,3
116,Catacombs,True,244,Magic Droplet,3
117,Yafutoma,False,243,Sacrulen Crystal,4
118,The Dark Rift,False,242,Sacrum Crystal,3
