Entry ID,[Entry Name],[Finalized],Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,[Base],[Multiplier],Buy,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%
269,Crystales Box,True,0b0010,,X,,0,Damage,3,Single EC,32,25,2000,1,2000,220,2,Purple,1,Magical,-1,None,0
270,Crystalen Box,False,0b0010,,X,,0,Damage,3,Single EC,32,25,2000,10,20000,600,2,Purple,1,Magical,-1,None,0
271,Wevles Box,True,0b0010,,X,,0,Damage,33,EC Square S5,32,25,1000,1,1000,180,3,Blue,1,Magical,-1,None,0
272,Wevlen Box,False,0b0010,,X,,0,Damage,34,EC Square S7,32,25,1000,10,10000,525,3,Blue,1,Magical,-1,None,0
273,Electri Box,True,0b0010,,X,,0,Damage,36,EC Ray S1,16,25,500,1,500,90,4,Yellow,1,Magical,-1,None,0
274,Electrum Box,False,0b0010,,X,,0,Damage,37,EC Ray S3,32,25,500,10,5000,420,4,Yellow,1,Magical,-1,None,0
275,Sacri Box,True,0b0110,X,X,,31,Recover HP,1,Single PC,32,25,200,3,600,500,0,Green,1,Magical,-1,None,0
276,Sacrum Box,True,0b0110,X,X,,31,Recover HP,2,All PCs,32,25,200,27,5400,500,0,Green,1,Magical,-1,None,0
277,Riselem Box,Assigned,0b0010,,X,,28,Revive w/ HP of 100%,1,Single PC,48,25,300,14,4200,0,5,Silver,1,Magical,7,Revival,0
278,Sylenis Box,True,0b0010,,X,,12,Silence,3,Single EC,32,25,1500,1,1500,0,2,Purple,1,Magical,5,Silence,30
279,Panika Box,True,0b0010,,X,,11,Confusion,3,Single EC,32,25,1500,1,1500,0,2,Purple,1,Magical,4,Confusion,30
280,Driln Box,True,0b0010,,X,,26,Decr All Attr,3,Single EC,32,25,1500,1,1500,0,4,Yellow,1,Magical,8,Weak,30
281,Slipara Box,True,0b0010,,X,,9,Sleep,4,All ECs,32,25,1500,2,3000,0,3,Blue,1,Magical,3,Sleep,60
282,Eternum Box,False,0b0010,,X,,6,Unconscious + Damage A,3,Single EC,48,25,3000,10,30000,700,5,Silver,1,Magical,1,Unconscious,90
283,Rune of Ill Omen,True,0b0000,,,,-1,None,0,None,0,100,1000,1,1000,0,-1,None,-1,None,-1,None,0
284,Golden Mask,True,0b0000,,,,-1,None,0,None,0,100,2000,1,2000,0,-1,None,-1,None,-1,None,0
285,Sky Sardis,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,1,5,1,-1,None,-1,None,-1,None,0
286,Red Sardis,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,10,50,10,-1,None,-1,None,-1,None,0
287,Flying Fish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,2,10,2,-1,None,-1,None,-1,None,0
288,Spiked Sunfish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,20,100,20,-1,None,-1,None,-1,None,0
289,Abirik Cham,True,0b0100,X,,,75,Evolve Cupil Now,0,None,100,0,50000,1,50000,-1,-1,None,-1,None,-1,None,0
290,Chom,True,0b0100,X,,,76,Reset Cupil,0,None,100,25,1000,1,1000,-1,-1,None,-1,None,-1,None,0
291,Gold Pollen,True,0b0000,,,,-1,None,0,None,100,100,5000,1,5000,0,-1,None,-1,None,-1,None,0
292,Ilchymix,False,0b0100,X,,,51,Recover HP & MP by 100% B,2,All PCs,100,100,100,4,400,10000,-1,None,-1,None,-1,None,0
293,Orb of Serenity,True,0b0000,,,,-1,None,0,None,0,100,10000,1,10000,0,-1,None,-1,None,-1,None,0
294,Kabal Skewer,False,0b0100,X,,,48,Recover MP,1,Single PC,100,100,200,1,200,4,-1,None,-1,None,-1,None,0
295,Mom's Skewer,False,0b0100,X,,,49,Recover MP of 100%,1,Single PC,100,100,200,10,2000,100,-1,None,-1,None,-1,None,0
296,Tropica,True,0b0100,X,,,59,Grow MAXHP,1,Single PC,100,100,1000,3,3000,100,-1,None,-1,None,-1,None,0
297,Urala's Lunch,False,0b0100,X,,,51,Recover HP & MP by 100% B,1,Single PC,100,100,100,1,100,10000,-1,None,-1,None,-1,None,0
298,Polly Special,False,0b0100,X,,,51,Recover HP & MP by 100% B,1,Single PC,100,100,100,1,100,10000,-1,None,-1,None,-1,None,0
299,Magillex Idol,True,0b0000,,,,-1,None,0,None,0,100,25000,1,25000,0,-1,None,-1,None,-1,None,0
300,Pharax Idol,False,0b0000,,,,-1,None,0,None,0,100,25000,1,25000,0,-1,None,-1,None,-1,None,0
301,Euconyx Idol,False,0b0000,,,,-1,None,0,None,0,100,25000,1,25000,0,-1,None,-1,None,-1,None,0
302,ダミー,True,0b0000,,,,-1,None,0,None,0,0,0,0,0,0,0,Green,0,Physical,0,Poison,0
303,ダミー,True,0b0000,,,,-1,None,0,None,0,0,0,0,0,0,0,Green,0,Physical,0,Poison,0
304,ダミー,True,0b0000,,,,-1,None,0,None,0,0,0,0,0,0,0,Green,0,Physical,0,Poison,0
305,Drajik Fish,True,0b0000,,,,-1,None,0,None,100,100,5,500,2500,0,-1,None,-1,None,-1,None,0
306,Kite Ray,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,3,15,3,-1,None,-1,None,-1,None,0
307,Stealth Ray,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,30,150,30,-1,None,-1,None,-1,None,0
308,Spear Squid,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,5,25,5,-1,None,-1,None,-1,None,0
309,Drill Squid,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,50,250,50,-1,None,-1,None,-1,None,0
310,Grule,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,7,35,7,-1,None,-1,None,-1,None,0
311,Rainbow Grule,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,70,350,70,-1,None,-1,None,-1,None,0
312,Sky Jellyfish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,20,100,20,-1,None,-1,None,-1,None,0
313,Silverfish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,200,1000,200,-1,None,-1,None,-1,None,0
314,Romuhai Fish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,15,75,15,-1,None,-1,None,-1,None,0
315,Hamahai Fish,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,150,750,150,-1,None,-1,None,-1,None,0
316,Nerath Eel,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,10,50,10,-1,None,-1,None,-1,None,0
317,Great Nerath Eel,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,100,500,100,-1,None,-1,None,-1,None,0
318,Red Dragon,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,30,150,30,-1,None,-1,None,-1,None,0
319,Gold Dragon,True,0b0100,X,,,31,Recover HP,1,Single PC,100,100,5,300,1500,300,-1,None,-1,None,-1,None,0
