Entry ID,[Filter],[EC ID],[EC JP Name],[Finalized],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
800,*,3,Marocca,True,1,Action,552,Run,-1,None
100,epevent.evp,3,Marocca,True,0,Branch,1,HP < 50%,400,Go to 400
200,epevent.evp,3,Marocca,True,0,Branch,28,Rating 80%,400,Go to 400
300,epevent.evp,3,Marocca,True,1,Action,551,Guard,-1,None
400,epevent.evp,3,Marocca,True,1,Action,550,Attack,3,PC With Highest HP
100,*,4,Grouder,True,0,Branch,16,Has Silence?,500,Go to 500
150,*,4,Grouder,True,0,Branch,34,Used Attack Spells ≥ 2,300,Go to 300
200,*,4,Grouder,True,0,Branch,22,Rating 20%,1000,Go to 1000
300,*,4,Grouder,True,0,Branch,36,Used State Spells ≥ 2,500,Go to 500
400,*,4,Grouder,True,0,Branch,22,Rating 20%,900,Go to 900
500,*,4,Grouder,True,0,Branch,23,Rating 30%,1100,Go to 1100
600,*,4,Grouder,True,0,Branch,22,Rating 20%,800,Go to 800
700,*,4,Grouder,True,1,Action,550,Attack,2,Random PC
800,*,4,Grouder,True,1,Action,551,Guard,-1,None
900,*,4,Grouder,True,1,Action,503,Panika,14,PC W/O Confusion
1000,*,4,Grouder,True,1,Action,520,Wevli,2,Random PC
1100,*,4,Grouder,True,1,Action,57,Eerie Wail,2,Random PC
0,*,5,Enforcer L08,True,0,Branch,17,ECs Alive = 1,4000,Go to 4000
5,*,5,Enforcer L08,True,0,Branch,66,ECs Alive = 3,20,Go to 20
10,*,5,Enforcer L08,True,0,Branch,54,ECs Alive ≤ 3,3000,Go to 3000
20,*,5,Enforcer L08,True,0,Branch,18,SP = 100%,10010,Guard
30,*,5,Enforcer L08,True,0,Branch,19,SP ≤ 50%,50,Go to 50
40,*,5,Enforcer L08,True,0,Branch,27,Rating 70%,10010,Guard
50,*,5,Enforcer L08,True,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,100,Go to 100
60,*,5,Enforcer L08,True,0,Branch,39,Any EC HP < 25%,10030,Sacrum Crystal
70,*,5,Enforcer L08,True,0,Branch,1,HP < 50%,10030,Sacrum Crystal
80,*,5,Enforcer L08,True,0,Branch,0,HP = 100%,2000,Go to 2000
90,*,5,Enforcer L08,True,0,Branch,30,Always,1000,Go to 1000
100,*,5,Enforcer L08,True,0,Branch,38,Any EC HP < 50%,1000,Go to 1000
110,*,5,Enforcer L08,True,0,Branch,30,Always,2000,Go to 2000
1000,*,5,Enforcer L08,True,0,Branch,27,Rating 70%,10030,Sacrum Crystal
2000,*,5,Enforcer L08,True,0,Branch,11,Turn 1,2030,Go to 2030
2010,*,5,Enforcer L08,True,0,Branch,12,Turn 2,2030,Go to 2030
2020,*,5,Enforcer L08,True,0,Branch,23,Rating 30%,10030,Sacrum Crystal
2030,*,5,Enforcer L08,True,0,Branch,24,Rating 40%,10020,Grenade
2040,*,5,Enforcer L08,True,0,Branch,21,Rating 10%,10010,Guard
2050,*,5,Enforcer L08,True,0,Branch,30,Always,10000,Attack
3000,*,5,Enforcer L08,True,0,Branch,62,PCs Alive = 1,4100,Go to 4100
3010,*,5,Enforcer L08,True,0,Branch,63,PCs Alive = 2,4100,Go to 4100
3020,*,5,Enforcer L08,True,0,Branch,50,Used S-Move?,3100,Go to 3100
3030,*,5,Enforcer L08,True,0,Branch,28,Rating 80%,10020,Grenade
3040,*,5,Enforcer L08,True,0,Branch,21,Rating 10%,10010,Guard
3050,*,5,Enforcer L08,True,0,Branch,30,Always,10000,Attack
3100,*,5,Enforcer L08,True,0,Branch,25,Rating 50%,10020,Grenade
3110,*,5,Enforcer L08,True,0,Branch,21,Rating 10%,10010,Guard
3120,*,5,Enforcer L08,True,0,Branch,30,Always,10000,Attack
4000,*,5,Enforcer L08,True,0,Branch,62,PCs Alive = 1,4100,Go to 4100
4010,*,5,Enforcer L08,True,0,Branch,63,PCs Alive = 2,4100,Go to 4100
4020,*,5,Enforcer L08,True,0,Branch,28,Rating 80%,10020,Grenade
4030,*,5,Enforcer L08,True,0,Branch,21,Rating 10%,10010,Guard
4040,*,5,Enforcer L08,True,0,Branch,30,Always,10000,Attack
4100,*,5,Enforcer L08,True,0,Branch,23,Rating 30%,10020,Grenade
4110,*,5,Enforcer L08,True,0,Branch,21,Rating 10%,10010,Guard
4120,*,5,Enforcer L08,True,0,Branch,30,Always,10000,Attack
10000,*,5,Enforcer L08,True,1,Action,550,Attack,2,Random PC
10010,*,5,Enforcer L08,True,1,Action,551,Guard,-1,None
10020,*,5,Enforcer L08,True,1,Action,70,Grenade,2,Random PC
10030,*,5,Enforcer L08,True,1,Action,72,Sacrum Crystal,-1,None
0,*,6,Destroyer L13a,True,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,1000,Go to 1000
10,*,6,Destroyer L13a,True,0,Branch,30,Always,2000,Go to 2000
1000,*,6,Destroyer L13a,True,0,Branch,17,ECs Alive = 1,10020,Emergency
1010,*,6,Destroyer L13a,True,0,Branch,66,ECs Alive = 3,1100,Go to 1100
1020,*,6,Destroyer L13a,True,0,Branch,54,ECs Alive ≤ 3,1040,Go to 1040
1030,*,6,Destroyer L13a,True,0,Branch,30,Always,1100,Go to 1100
1040,*,6,Destroyer L13a,True,0,Branch,2,HP < 25%,1100,Go to 1100
1050,*,6,Destroyer L13a,True,0,Branch,39,Any EC HP < 25%,10020,Emergency
1100,*,6,Destroyer L13a,True,0,Branch,11,Turn 1,1200,Go to 1200
1110,*,6,Destroyer L13a,True,0,Branch,12,Turn 2,1300,Go to 1300
1120,*,6,Destroyer L13a,True,0,Branch,13,Turn 3,1300,Go to 1300
1130,*,6,Destroyer L13a,True,0,Branch,14,Turn 4,1300,Go to 1300
1140,*,6,Destroyer L13a,True,0,Branch,37,Turn ≥ 5,1400,Go to 1400
1200,*,6,Destroyer L13a,True,0,Branch,23,Rating 30%,10010,Call Allies
1300,*,6,Destroyer L13a,True,0,Branch,23,Rating 30%,10010,Call Allies
1400,*,6,Destroyer L13a,True,0,Branch,23,Rating 30%,10010,Call Allies
2000,*,6,Destroyer L13a,True,0,Branch,62,PCs Alive = 1,2030,Go to 2030
2010,*,6,Destroyer L13a,True,0,Branch,63,PCs Alive = 2,2030,Go to 2030
2020,*,6,Destroyer L13a,True,0,Branch,25,Rating 50%,10040,Search
2030,*,6,Destroyer L13a,True,0,Branch,23,Rating 30%,10040,Search
10000,*,6,Destroyer L13a,True,1,Action,551,Guard,-1,None
10010,*,6,Destroyer L13a,True,1,Action,74,Call Allies,-1,None
10020,*,6,Destroyer L13a,True,1,Action,97,Emergency,-1,None
10030,*,6,Destroyer L13a,True,1,Action,112,Call Allies,-1,None
10040,*,6,Destroyer L13a,True,1,Action,160,Search,14,PC W/O Confusion
0,*,7,Spell Warden L05,True,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,10,Go to 10
5,*,7,Spell Warden L05,True,0,Branch,11,Turn 1,10020,Increm
10,*,7,Spell Warden L05,True,0,Branch,37,Turn ≥ 5,30,Go to 30
20,*,7,Spell Warden L05,True,0,Branch,30,Always,40,Go to 40
30,*,7,Spell Warden L05,True,0,Branch,24,Rating 40%,1000,Go to 1000
40,*,7,Spell Warden L05,True,0,Branch,31,Used Sacri Spells ≥ 1,1000,Go to 1000
45,*,7,Spell Warden L05,True,0,Branch,54,ECs Alive ≤ 3,50,Go to 50
46,*,7,Spell Warden L05,True,0,Branch,30,Always,1000,Go to 1000
50,*,7,Spell Warden L05,True,0,Branch,0,HP = 100%,1000,Go to 1000
60,*,7,Spell Warden L05,True,0,Branch,30,Always,10055,Sacri
1000,*,7,Spell Warden L05,True,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,1002,Go to 1002
1001,*,7,Spell Warden L05,True,0,Branch,30,Always,1003,Go to 1003
1002,*,7,Spell Warden L05,True,0,Branch,35,Used State Spells ≥ 1,2000,Go to 2000
1003,*,7,Spell Warden L05,True,0,Branch,36,Used State Spells ≥ 2,2000,Go to 2000
1010,*,7,Spell Warden L05,True,0,Branch,25,Rating 50%,10030,Increm
1020,*,7,Spell Warden L05,True,0,Branch,13,Turn 3,10030,Increm
1030,*,7,Spell Warden L05,True,0,Branch,14,Turn 4,10030,Increm
1040,*,7,Spell Warden L05,True,0,Branch,37,Turn ≥ 5,10030,Increm
2000,*,7,Spell Warden L05,True,0,Branch,25,Rating 50%,3000,Go to 3000
2010,*,7,Spell Warden L05,True,0,Branch,32,Used Sacri Spells ≥ 2,2030,Go to 2030
2020,*,7,Spell Warden L05,True,0,Branch,30,Always,2040,Go to 2040
2030,*,7,Spell Warden L05,True,0,Branch,49,Used Spell?,3000,Go to 3000
2040,*,7,Spell Warden L05,True,0,Branch,39,Any EC HP < 25%,10040,Sacri
2050,*,7,Spell Warden L05,True,0,Branch,1,HP < 50%,10055,Sacri
3000,*,7,Spell Warden L05,True,0,Branch,37,Turn ≥ 5,4000,Go to 4000
3010,*,7,Spell Warden L05,True,0,Branch,25,Rating 50%,10060,Crystali
3020,*,7,Spell Warden L05,True,0,Branch,26,Rating 60%,10000,Attack
3030,*,7,Spell Warden L05,True,0,Branch,30,Always,10010,Guard
4000,*,7,Spell Warden L05,True,0,Branch,24,Rating 40%,10060,Crystali
4010,*,7,Spell Warden L05,True,0,Branch,24,Rating 40%,10000,Attack
4020,*,7,Spell Warden L05,True,0,Branch,51,Used Focus?,4040,Go to 4040
4030,*,7,Spell Warden L05,True,0,Branch,24,Rating 40%,10015,Focus
4040,*,7,Spell Warden L05,True,0,Branch,25,Rating 50%,10050,Sacri
4050,*,7,Spell Warden L05,True,0,Branch,30,Always,10010,Guard
10000,*,7,Spell Warden L05,True,1,Action,550,Attack,1,Nearest PC
10010,*,7,Spell Warden L05,True,1,Action,551,Guard,-1,None
10015,*,7,Spell Warden L05,True,1,Action,37,Focus,-1,None
10020,*,7,Spell Warden L05,True,1,Action,500,Increm,22,Self
10030,*,7,Spell Warden L05,True,1,Action,500,Increm,8,EC With Highest Attack
10040,*,7,Spell Warden L05,True,1,Action,506,Sacri,7,EC With Lowest HP
10050,*,7,Spell Warden L05,True,1,Action,506,Sacri,8,EC With Highest Attack
10055,*,7,Spell Warden L05,True,1,Action,506,Sacri,22,Self
10060,*,7,Spell Warden L05,True,1,Action,526,Crystali,2,Random PC
100,*,8,Flestik,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,8,Flestik,True,0,Branch,30,Always,400,Go to 400
300,*,8,Flestik,True,0,Branch,28,Rating 80%,1600,Go to 1600
400,*,8,Flestik,True,0,Branch,2,HP < 25%,1200,Go to 1200
500,*,8,Flestik,True,0,Branch,4,Got Hit?,700,Go to 700
600,*,8,Flestik,True,0,Branch,30,Always,900,Go to 900
700,*,8,Flestik,True,0,Branch,28,Rating 80%,1400,Go to 1400
800,*,8,Flestik,True,0,Branch,30,Always,1500,Go to 1500
900,*,8,Flestik,True,0,Branch,26,Rating 60%,1400,Go to 1400
1000,*,8,Flestik,True,0,Branch,26,Rating 60%,1500,Go to 1500
1100,*,8,Flestik,True,0,Branch,30,Always,1600,Go to 1600
1200,*,8,Flestik,True,0,Branch,24,Rating 40%,1600,Go to 1600
1300,*,8,Flestik,True,0,Branch,30,Always,900,Go to 900
1400,*,8,Flestik,True,1,Action,550,Attack,1,Nearest PC
1500,*,8,Flestik,True,1,Action,551,Guard,-1,None
1600,*,8,Flestik,True,1,Action,552,Run,-1,None
100,*,9,Basallish,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,9,Basallish,True,0,Branch,30,Always,400,Go to 400
300,*,9,Basallish,True,0,Branch,29,Rating 90%,1600,Go to 1600
400,*,9,Basallish,True,0,Branch,2,HP < 25%,1200,Go to 1200
500,*,9,Basallish,True,0,Branch,4,Got Hit?,700,Go to 700
600,*,9,Basallish,True,0,Branch,30,Always,900,Go to 900
700,*,9,Basallish,True,0,Branch,29,Rating 90%,1400,Go to 1400
800,*,9,Basallish,True,0,Branch,30,Always,1600,Go to 1600
900,*,9,Basallish,True,0,Branch,27,Rating 70%,1400,Go to 1400
1000,*,9,Basallish,True,0,Branch,24,Rating 40%,1500,Go to 1500
1100,*,9,Basallish,True,0,Branch,30,Always,1600,Go to 1600
1200,*,9,Basallish,True,0,Branch,25,Rating 50%,1600,Go to 1600
1300,*,9,Basallish,True,0,Branch,30,Always,900,Go to 900
1400,*,9,Basallish,True,1,Action,550,Attack,1,Nearest PC
1500,*,9,Basallish,True,1,Action,551,Guard,-1,None
1600,*,9,Basallish,True,1,Action,552,Run,-1,None
100,*,10,Mind Stealer,True,0,Branch,21,Rating 10%,300,Go to 300
200,*,10,Mind Stealer,True,1,Action,550,Attack,1,Nearest PC
300,*,10,Mind Stealer,True,1,Action,551,Guard,-1,None
100,*,11,Walrenk,True,0,Branch,16,Has Silence?,500,Go to 500
150,*,11,Walrenk,True,0,Branch,34,Used Attack Spells ≥ 2,300,Go to 300
200,*,11,Walrenk,True,0,Branch,22,Rating 20%,900,Go to 900
300,*,11,Walrenk,True,0,Branch,35,Used State Spells ≥ 1,500,Go to 500
400,*,11,Walrenk,True,0,Branch,22,Rating 20%,800,Go to 800
500,*,11,Walrenk,True,0,Branch,21,Rating 10%,700,Go to 700
600,*,11,Walrenk,True,1,Action,550,Attack,2,Random PC
700,*,11,Walrenk,True,1,Action,551,Guard,-1,None
800,*,11,Walrenk,True,1,Action,503,Panika,14,PC W/O Confusion
900,*,11,Walrenk,True,1,Action,527,Crystales,2,Random PC
100,*,12,Varkris,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,12,Varkris,True,0,Branch,30,Always,400,Go to 400
300,*,12,Varkris,True,0,Branch,27,Rating 70%,2800,Go to 2800
400,*,12,Varkris,True,0,Branch,17,ECs Alive = 1,2000,Go to 2000
500,*,12,Varkris,True,0,Branch,36,Used State Spells ≥ 2,1600,Go to 1600
600,*,12,Varkris,True,0,Branch,11,Turn 1,800,Go to 800
700,*,12,Varkris,True,0,Branch,30,Always,900,Go to 900
800,*,12,Varkris,True,0,Branch,16,Has Silence?,900,Go to 900
850,*,12,Varkris,True,0,Branch,23,Rating 30%,2400,Go to 2400
900,*,12,Varkris,True,0,Branch,12,Turn 2,1100,Go to 1100
1000,*,12,Varkris,True,0,Branch,30,Always,1200,Go to 1200
1100,*,12,Varkris,True,0,Branch,16,Has Silence?,1300,Go to 1300
1150,*,12,Varkris,True,0,Branch,21,Rating 10%,2400,Go to 2400
1200,*,12,Varkris,True,0,Branch,22,Rating 20%,2500,Go to 2500
1300,*,12,Varkris,True,0,Branch,27,Rating 70%,2300,Go to 2300
1400,*,12,Varkris,True,0,Branch,25,Rating 50%,2600,Go to 2600
1500,*,12,Varkris,True,0,Branch,30,Always,2700,Go to 2700
1600,*,12,Varkris,True,0,Branch,25,Rating 50%,2300,Go to 2300
1700,*,12,Varkris,True,0,Branch,24,Rating 40%,2600,Go to 2600
1800,*,12,Varkris,True,0,Branch,26,Rating 60%,2700,Go to 2700
1900,*,12,Varkris,True,0,Branch,30,Always,2800,Go to 2800
2000,*,12,Varkris,True,0,Branch,24,Rating 40%,2600,Go to 2600
2100,*,12,Varkris,True,0,Branch,25,Rating 50%,2700,Go to 2700
2200,*,12,Varkris,True,0,Branch,30,Always,2800,Go to 2800
2300,*,12,Varkris,True,1,Action,550,Attack,2,Random PC
2400,*,12,Varkris,True,1,Action,513,Quika,-1,None
2500,*,12,Varkris,True,1,Action,512,Slipara,-1,None
2600,*,12,Varkris,True,1,Action,62,Call Allies,-1,None
2700,*,12,Varkris,True,1,Action,107,Call Allies,-1,None
2800,*,12,Varkris,True,1,Action,552,Run,-1,None
100,*,13,Azbeth,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,13,Azbeth,True,0,Branch,30,Always,400,Go to 400
300,*,13,Azbeth,True,0,Branch,27,Rating 70%,1500,Go to 1500
400,*,13,Azbeth,True,0,Branch,25,Rating 50%,1300,Go to 1300
500,*,13,Azbeth,True,0,Branch,24,Rating 40%,800,Go to 800
600,*,13,Azbeth,True,0,Branch,27,Rating 70%,1100,Go to 1100
700,*,13,Azbeth,True,0,Branch,30,Always,1400,Go to 1400
800,*,13,Azbeth,True,0,Branch,25,Rating 50%,1600,Go to 1600
900,*,13,Azbeth,True,0,Branch,24,Rating 40%,1700,Go to 1700
1000,*,13,Azbeth,True,0,Branch,30,Always,1800,Go to 1800
1100,*,13,Azbeth,True,0,Branch,16,Has Silence?,2000,Go to 2000
1150,*,13,Azbeth,True,0,Branch,36,Used State Spells ≥ 2,2000,Go to 2000
1200,*,13,Azbeth,True,0,Branch,30,Always,1900,Go to 1900
1300,*,13,Azbeth,True,1,Action,550,Attack,2,Random PC
1400,*,13,Azbeth,True,1,Action,551,Guard,-1,None
1500,*,13,Azbeth,True,1,Action,552,Run,-1,None
1600,*,13,Azbeth,True,1,Action,200,Call Allies,-1,None
1700,*,13,Azbeth,True,1,Action,201,Call Allies,-1,None
1800,*,13,Azbeth,True,1,Action,108,Call Allies,-1,None
1900,*,13,Azbeth,True,1,Action,517,Eterni,2,Random PC
2000,*,13,Azbeth,True,1,Action,100,Magic?,-1,None
0,*,14,Zivilyn Bane L06,True,0,Branch,11,Turn 1,2200,Go to 2200
10,*,14,Zivilyn Bane L06,True,0,Branch,50,Used S-Move?,2000,Go to 2000
1000,*,14,Zivilyn Bane L06,True,0,Branch,22,Rating 20%,10000,Attack
1010,*,14,Zivilyn Bane L06,True,0,Branch,30,Always,10020,Burst
2000,*,14,Zivilyn Bane L06,True,0,Branch,62,PCs Alive = 1,2100,Go to 2100
2010,*,14,Zivilyn Bane L06,True,0,Branch,63,PCs Alive = 2,2100,Go to 2100
2020,*,14,Zivilyn Bane L06,True,0,Branch,14,Turn 4,2200,Go to 2200
2030,*,14,Zivilyn Bane L06,True,0,Branch,37,Turn ≥ 5,2200,Go to 2200
2100,*,14,Zivilyn Bane L06,True,0,Branch,27,Rating 70%,10000,Attack
2110,*,14,Zivilyn Bane L06,True,0,Branch,27,Rating 70%,10020,Burst
2120,*,14,Zivilyn Bane L06,True,0,Branch,30,Always,10010,Guard
2200,*,14,Zivilyn Bane L06,True,0,Branch,25,Rating 50%,10020,Burst
2210,*,14,Zivilyn Bane L06,True,0,Branch,28,Rating 80%,10000,Attack
2220,*,14,Zivilyn Bane L06,True,0,Branch,30,Always,10010,Guard
10000,*,14,Zivilyn Bane L06,True,1,Action,550,Attack,4,PC With Lowest HP
10010,*,14,Zivilyn Bane L06,True,1,Action,551,Guard,-1,None
10020,*,14,Zivilyn Bane L06,True,1,Action,22,Burst,2,Random PC
100,*,15,Ghastling,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,15,Ghastling,True,0,Branch,30,Always,400,Go to 400
300,*,15,Ghastling,True,0,Branch,28,Rating 80%,1600,Go to 1600
400,*,15,Ghastling,True,0,Branch,0,HP = 100%,700,Go to 700
500,*,15,Ghastling,True,0,Branch,46,Used HP Absorbs ≥ 1,700,Go to 700
600,*,15,Ghastling,True,0,Branch,29,Rating 90%,1500,Go to 1500
700,*,15,Ghastling,True,0,Branch,9,Any PC Distance >= 3,1100,Go to 1100
800,*,15,Ghastling,True,0,Branch,27,Rating 70%,1400,Go to 1400
900,*,15,Ghastling,True,0,Branch,28,Rating 80%,1600,Go to 1600
1000,*,15,Ghastling,True,0,Branch,30,Always,1700,Go to 1700
1100,*,15,Ghastling,True,0,Branch,27,Rating 70%,1400,Go to 1400
1200,*,15,Ghastling,True,0,Branch,28,Rating 80%,1500,Go to 1500
1300,*,15,Ghastling,True,0,Branch,30,Always,1700,Go to 1700
1400,*,15,Ghastling,True,1,Action,550,Attack,1,Nearest PC
1500,*,15,Ghastling,True,1,Action,210,HP Absorb,3,PC With Highest HP
1600,*,15,Ghastling,True,1,Action,552,Run,-1,None
1700,*,15,Ghastling,True,1,Action,551,Guard,-1,None
100,*,16,Florast,False,0,Branch,45,1st PC ΔLevel > 7,300,Go to 300
200,*,16,Florast,False,0,Branch,30,Always,400,Go to 400
300,*,16,Florast,False,0,Branch,26,Rating 60%,1600,Go to 1600
400,*,16,Florast,False,0,Branch,44,1st PC ΔLevel > 3,600,Go to 600
500,*,16,Florast,False,0,Branch,30,Always,700,Go to 700
600,*,16,Florast,False,0,Branch,23,Rating 30%,1600,Go to 1600
700,*,16,Florast,False,0,Branch,11,Turn 1,1000,Go to 1000
800,*,16,Florast,False,0,Branch,12,Turn 2,1000,Go to 1000
900,*,16,Florast,False,0,Branch,30,Always,1200,Go to 1200
1000,*,16,Florast,False,0,Branch,22,Rating 20%,1700,Go to 1700
1100,*,16,Florast,False,0,Branch,22,Rating 20%,1800,Go to 1800
1200,*,16,Florast,False,0,Branch,27,Rating 70%,1500,Go to 1500
1300,*,16,Florast,False,0,Branch,25,Rating 50%,1900,Go to 1900
1400,*,16,Florast,False,0,Branch,30,Always,2000,Go to 2000
1500,*,16,Florast,False,1,Action,550,Attack,2,Random PC
1600,*,16,Florast,False,1,Action,552,Run,-1,None
1700,*,16,Florast,False,1,Action,504,Driln,17,PC W/O Weak
1800,*,16,Florast,False,1,Action,511,Noxus,-1,None
1900,*,16,Florast,False,1,Action,100,Magic?,-1,None
2000,*,16,Florast,False,1,Action,551,Guard,-1,None
100,*,17,Tsirat,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,17,Tsirat,True,0,Branch,30,Always,400,Go to 400
300,*,17,Tsirat,True,0,Branch,24,Rating 40%,1200,Go to 1200
400,*,17,Tsirat,True,0,Branch,0,HP = 100%,700,Go to 700
500,*,17,Tsirat,True,0,Branch,46,Used HP Absorbs ≥ 1,700,Go to 700
600,*,17,Tsirat,True,0,Branch,25,Rating 50%,1300,Go to 1300
700,*,17,Tsirat,True,0,Branch,16,Has Silence?,900,Go to 900
750,*,17,Tsirat,True,0,Branch,34,Used Attack Spells ≥ 2,900,Go to 900
800,*,17,Tsirat,True,0,Branch,24,Rating 40%,1400,Go to 1400
900,*,17,Tsirat,True,0,Branch,21,Rating 10%,1200,Go to 1200
1000,*,17,Tsirat,True,0,Branch,21,Rating 10%,1500,Go to 1500
1100,*,17,Tsirat,True,1,Action,550,Attack,2,Random PC
1200,*,17,Tsirat,True,1,Action,552,Run,-1,None
1300,*,17,Tsirat,True,1,Action,211,HP Absorb,3,PC With Highest HP
1400,*,17,Tsirat,True,1,Action,532,Electri,2,Random PC
1500,*,17,Tsirat,True,1,Action,551,Guard,-1,None
100,*,18,Thorkryn,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,18,Thorkryn,True,0,Branch,30,Always,400,Go to 400
300,*,18,Thorkryn,True,0,Branch,24,Rating 40%,1300,Go to 1300
400,*,18,Thorkryn,True,0,Branch,40,Used Gather Strength?,1500,Go to 1500
405,*,18,Thorkryn,True,0,Branch,4,Got Hit?,430,Go to 430
410,*,18,Thorkryn,True,0,Branch,54,ECs Alive ≤ 3,430,Go to 430
420,*,18,Thorkryn,True,0,Branch,30,Always,700,Go to 700
430,*,18,Thorkryn,True,0,Branch,50,Used S-Move?,700,Go to 700
440,*,18,Thorkryn,True,0,Branch,25,Rating 50%,1500,Go to 1500
700,*,18,Thorkryn,True,0,Branch,25,Rating 50%,1400,Go to 1400
800,*,18,Thorkryn,True,0,Branch,27,Rating 70%,1100,Go to 1100
900,*,18,Thorkryn,True,0,Branch,27,Rating 70%,1200,Go to 1200
1000,*,18,Thorkryn,True,0,Branch,30,Always,1300,Go to 1300
1100,*,18,Thorkryn,True,1,Action,550,Attack,2,Random PC
1200,*,18,Thorkryn,True,1,Action,551,Guard,-1,None
1300,*,18,Thorkryn,True,1,Action,552,Run,-1,None
1400,*,18,Thorkryn,True,1,Action,20,Gather Strength,-1,None
1500,*,18,Thorkryn,True,1,Action,170,Needle Storm,2,Random PC
100,*,19,Scorfly,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,19,Scorfly,True,0,Branch,30,Always,400,Go to 400
300,*,19,Scorfly,True,0,Branch,24,Rating 40%,700,Go to 700
