Entry ID,[Entry name],[Finalized],Chara. flags,[V],[A],[F],[D],[E],[G],Retail price in %,Purchase price,Feat. #0 ID,[Feat. #0 name],Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Feat. #3 value
219,Immunity Ring,False,5,,,,X,,X,50,1490,79,Block negative states,-2,17,Defense,21,84,Random encounter%,2,-1,None,0
220,Thermo Ring,False,63,X,X,X,X,X,X,50,520,33,Red,-1,34,Purple,-1,84,Random encounter%,2,-1,None,0
221,Slayer Ring,False,63,X,X,X,X,X,X,50,505,1,Will,8,17,Defense,8,19,Hit%,10,4,Quick,8
222,Chance Ring,False,63,X,X,X,X,X,X,100,1000,79,Block negative states,90,17,Defense,45,18,MagDef,45,84,Random encounter%,2
223,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
224,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
225,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
226,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
227,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
228,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
229,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
230,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
231,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
232,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
233,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
234,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
235,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
236,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
237,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
238,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
239,ダミーアクセサリ,True,0,,,,,,,0,0,-1,None,0,-1,None,0,-1,None,0,-1,None,0
