Entry ID,[Filter],[Enemy ID],[JP enemy name],[Finalized],Instr. type ID,[Instr. type name],Instr. ID,[Instr. name],Instr. param. ID,[Instr. param. name]
8,*,3,Marocca,True,1,Action,552,Run,-1,None
1,epevent.evp,3,Marocca,True,0,Strategy,1,???,4,???
2,epevent.evp,3,Marocca,True,0,Strategy,28,???,4,???
3,epevent.evp,3,Marocca,True,1,Action,551,Guard,-1,None
4,epevent.evp,3,Marocca,True,1,Action,550,Attack,3,Character with most HP
1,*,4,Grouder,True,0,Strategy,33,???,3,???
2,*,4,Grouder,True,0,Strategy,22,???,10,???
3,*,4,Grouder,True,0,Strategy,36,???,5,???
4,*,4,Grouder,True,0,Strategy,22,???,9,???
5,*,4,Grouder,True,0,Strategy,23,???,11,???
6,*,4,Grouder,True,0,Strategy,22,???,8,???
7,*,4,Grouder,True,1,Action,550,Attack,2,Random character
8,*,4,Grouder,True,1,Action,551,Guard,-1,None
9,*,4,Grouder,True,1,Action,503,Panika,14,Character without Confusion
10,*,4,Grouder,True,1,Action,520,Wevli,2,Random character
11,*,4,Grouder,True,1,Action,57,Eerie Wail,2,Random character
1,*,7,Spell Warden,True,0,Strategy,35,???,8,???
2,*,7,Spell Warden,True,0,Strategy,24,???,18,???
3,*,7,Spell Warden,True,0,Strategy,17,???,23,???
4,*,7,Spell Warden,True,0,Strategy,32,???,8,???
5,*,7,Spell Warden,True,0,Strategy,39,???,19,???
6,*,7,Spell Warden,True,0,Strategy,11,???,8,???
7,*,7,Spell Warden,True,0,Strategy,22,???,20,???
8,*,7,Spell Warden,True,0,Strategy,37,???,12,???
9,*,7,Spell Warden,True,0,Strategy,25,???,21,???
10,*,7,Spell Warden,True,0,Strategy,26,???,17,???
11,*,7,Spell Warden,True,0,Strategy,30,???,23,???
12,*,7,Spell Warden,True,0,Strategy,24,???,21,???
13,*,7,Spell Warden,True,0,Strategy,24,???,17,???
14,*,7,Spell Warden,True,0,Strategy,24,???,22,???
15,*,7,Spell Warden,True,0,Strategy,25,???,20,???
16,*,7,Spell Warden,True,0,Strategy,30,???,23,???
17,*,7,Spell Warden,True,1,Action,550,Attack,1,Common character
18,*,7,Spell Warden,True,1,Action,500,Increm,8,Enemy with highest ID
19,*,7,Spell Warden,True,1,Action,506,Sacri,7,Injured enemy
20,*,7,Spell Warden,True,1,Action,506,Sacri,8,Enemy with highest ID
21,*,7,Spell Warden,True,1,Action,526,Crystali,2,Random character
22,*,7,Spell Warden,True,1,Action,500,Increm,11,Enemy without Strengthen
23,*,7,Spell Warden,True,1,Action,551,Guard,-1,None
1,*,8,Flestik,True,0,Strategy,44,???,3,???
2,*,8,Flestik,True,0,Strategy,30,???,4,???
3,*,8,Flestik,True,0,Strategy,28,???,16,???
4,*,8,Flestik,True,0,Strategy,2,???,12,???
5,*,8,Flestik,True,0,Strategy,4,???,7,???
6,*,8,Flestik,True,0,Strategy,30,???,9,???
7,*,8,Flestik,True,0,Strategy,28,???,14,???
8,*,8,Flestik,True,0,Strategy,30,???,15,???
9,*,8,Flestik,True,0,Strategy,26,???,14,???
10,*,8,Flestik,True,0,Strategy,26,???,15,???
11,*,8,Flestik,True,0,Strategy,30,???,16,???
12,*,8,Flestik,True,0,Strategy,24,???,16,???
13,*,8,Flestik,True,0,Strategy,30,???,9,???
14,*,8,Flestik,True,1,Action,550,Attack,1,Common character
15,*,8,Flestik,True,1,Action,551,Guard,-1,None
16,*,8,Flestik,True,1,Action,552,Run,-1,None
1,*,9,Basallish,True,0,Strategy,44,???,3,???
2,*,9,Basallish,True,0,Strategy,30,???,4,???
3,*,9,Basallish,True,0,Strategy,29,???,16,???
4,*,9,Basallish,True,0,Strategy,2,???,12,???
5,*,9,Basallish,True,0,Strategy,4,???,7,???
6,*,9,Basallish,True,0,Strategy,30,???,9,???
7,*,9,Basallish,True,0,Strategy,29,???,14,???
8,*,9,Basallish,True,0,Strategy,30,???,16,???
9,*,9,Basallish,True,0,Strategy,27,???,14,???
10,*,9,Basallish,True,0,Strategy,24,???,15,???
11,*,9,Basallish,True,0,Strategy,30,???,16,???
12,*,9,Basallish,True,0,Strategy,25,???,16,???
13,*,9,Basallish,True,0,Strategy,30,???,9,???
14,*,9,Basallish,True,1,Action,550,Attack,1,Common character
15,*,9,Basallish,True,1,Action,551,Guard,-1,None
16,*,9,Basallish,True,1,Action,552,Run,-1,None
1,*,10,Mind Stealer,True,0,Strategy,21,???,3,???
2,*,10,Mind Stealer,True,1,Action,550,Attack,1,Common character
3,*,10,Mind Stealer,True,1,Action,551,Guard,-1,None
1,*,11,Walrenk,False,0,Strategy,33,???,3,???
2,*,11,Walrenk,False,0,Strategy,22,???,9,???
3,*,11,Walrenk,False,0,Strategy,35,???,5,???
4,*,11,Walrenk,False,0,Strategy,22,???,8,???
5,*,11,Walrenk,False,0,Strategy,21,???,7,???
6,*,11,Walrenk,False,1,Action,550,Attack,2,Random character
7,*,11,Walrenk,False,1,Action,551,Guard,-1,None
8,*,11,Walrenk,False,1,Action,503,Panika,14,Character without Confusion
9,*,11,Walrenk,False,1,Action,527,Crystales,2,Random character
1,*,12,Varkris,Undefined,0,Strategy,44,???,3,???
2,*,12,Varkris,Undefined,0,Strategy,30,???,4,???
3,*,12,Varkris,Undefined,0,Strategy,27,???,28,???
4,*,12,Varkris,Undefined,0,Strategy,17,???,20,???
5,*,12,Varkris,Undefined,0,Strategy,36,???,16,???
6,*,12,Varkris,Undefined,0,Strategy,11,???,8,???
7,*,12,Varkris,Undefined,0,Strategy,30,???,9,???
8,*,12,Varkris,Undefined,0,Strategy,23,???,24,???
9,*,12,Varkris,Undefined,0,Strategy,12,???,11,???
10,*,12,Varkris,Undefined,0,Strategy,30,???,12,???
11,*,12,Varkris,Undefined,0,Strategy,21,???,24,???
12,*,12,Varkris,Undefined,0,Strategy,22,???,25,???
13,*,12,Varkris,Undefined,0,Strategy,27,???,23,???
14,*,12,Varkris,Undefined,0,Strategy,25,???,26,???
15,*,12,Varkris,Undefined,0,Strategy,30,???,27,???
16,*,12,Varkris,Undefined,0,Strategy,25,???,23,???
17,*,12,Varkris,Undefined,0,Strategy,24,???,26,???
18,*,12,Varkris,Undefined,0,Strategy,26,???,27,???
19,*,12,Varkris,Undefined,0,Strategy,30,???,28,???
20,*,12,Varkris,Undefined,0,Strategy,24,???,26,???
21,*,12,Varkris,Undefined,0,Strategy,25,???,27,???
22,*,12,Varkris,Undefined,0,Strategy,30,???,28,???
23,*,12,Varkris,Undefined,1,Action,550,Attack,2,Random character
24,*,12,Varkris,Undefined,1,Action,513,Quika,-1,None
25,*,12,Varkris,Undefined,1,Action,512,Slipara,16,Character without Sleep
26,*,12,Varkris,Undefined,1,Action,62,Call Allies,-1,None
27,*,12,Varkris,Undefined,1,Action,107,Call Allies,-1,None
28,*,12,Varkris,Undefined,1,Action,552,Run,-1,None
1,*,13,Azbeth,Undefined,0,Strategy,44,???,3,???
2,*,13,Azbeth,Undefined,0,Strategy,30,???,4,???
3,*,13,Azbeth,Undefined,0,Strategy,27,???,15,???
4,*,13,Azbeth,Undefined,0,Strategy,25,???,13,???
5,*,13,Azbeth,Undefined,0,Strategy,24,???,8,???
6,*,13,Azbeth,Undefined,0,Strategy,27,???,11,???
7,*,13,Azbeth,Undefined,0,Strategy,30,???,14,???
8,*,13,Azbeth,Undefined,0,Strategy,25,???,16,???
9,*,13,Azbeth,Undefined,0,Strategy,24,???,17,???
10,*,13,Azbeth,Undefined,0,Strategy,30,???,18,???
11,*,13,Azbeth,Undefined,0,Strategy,35,???,20,???
12,*,13,Azbeth,Undefined,0,Strategy,30,???,19,???
13,*,13,Azbeth,Undefined,1,Action,550,Attack,2,Random character
14,*,13,Azbeth,Undefined,1,Action,551,Guard,-1,None
15,*,13,Azbeth,Undefined,1,Action,552,Run,-1,None
16,*,13,Azbeth,Undefined,1,Action,200,Call Allies,-1,None
17,*,13,Azbeth,Undefined,1,Action,201,Call Allies,-1,None
18,*,13,Azbeth,Undefined,1,Action,108,Call Allies,-1,None
19,*,13,Azbeth,Undefined,1,Action,517,Eterni,2,Random character
20,*,13,Azbeth,Undefined,1,Action,100,Magic?,-1,None
1,*,14,Zivilyn Bane,Undefined,0,Strategy,11,???,4,???
2,*,14,Zivilyn Bane,Undefined,0,Strategy,12,???,6,???
3,*,14,Zivilyn Bane,Undefined,0,Strategy,30,???,8,???
4,*,14,Zivilyn Bane,Undefined,0,Strategy,27,???,14,???
5,*,14,Zivilyn Bane,Undefined,0,Strategy,30,???,15,???
6,*,14,Zivilyn Bane,Undefined,0,Strategy,50,???,14,???
7,*,14,Zivilyn Bane,Undefined,0,Strategy,30,???,15,???
8,*,14,Zivilyn Bane,Undefined,0,Strategy,50,???,11,???
9,*,14,Zivilyn Bane,Undefined,0,Strategy,23,???,14,???
10,*,14,Zivilyn Bane,Undefined,0,Strategy,30,???,15,???
11,*,14,Zivilyn Bane,Undefined,0,Strategy,27,???,14,???
12,*,14,Zivilyn Bane,Undefined,0,Strategy,26,???,15,???
13,*,14,Zivilyn Bane,Undefined,0,Strategy,30,???,16,???
14,*,14,Zivilyn Bane,Undefined,1,Action,550,Attack,4,Character with least HP
15,*,14,Zivilyn Bane,Undefined,1,Action,22,Burst,2,Random character
16,*,14,Zivilyn Bane,Undefined,1,Action,551,Guard,-1,None
1,*,15,Ghastling,True,0,Strategy,44,???,3,???
2,*,15,Ghastling,True,0,Strategy,30,???,4,???
3,*,15,Ghastling,True,0,Strategy,28,???,16,???
4,*,15,Ghastling,True,0,Strategy,0,???,7,???
5,*,15,Ghastling,True,0,Strategy,46,???,7,???
6,*,15,Ghastling,True,0,Strategy,29,???,15,???
7,*,15,Ghastling,True,0,Strategy,9,???,11,???
8,*,15,Ghastling,True,0,Strategy,27,???,14,???
9,*,15,Ghastling,True,0,Strategy,28,???,16,???
10,*,15,Ghastling,True,0,Strategy,30,???,17,???
11,*,15,Ghastling,True,0,Strategy,27,???,14,???
12,*,15,Ghastling,True,0,Strategy,28,???,15,???
13,*,15,Ghastling,True,0,Strategy,30,???,17,???
14,*,15,Ghastling,True,1,Action,550,Attack,1,Common character
15,*,15,Ghastling,True,1,Action,210,HP Absorb,3,Character with most HP
16,*,15,Ghastling,True,1,Action,552,Run,-1,None
17,*,15,Ghastling,True,1,Action,551,Guard,-1,None
1,*,16,Florast,False,0,Strategy,45,???,3,???
2,*,16,Florast,False,0,Strategy,30,???,4,???
3,*,16,Florast,False,0,Strategy,26,???,16,???
4,*,16,Florast,False,0,Strategy,44,???,6,???
5,*,16,Florast,False,0,Strategy,30,???,7,???
6,*,16,Florast,False,0,Strategy,23,???,16,???
7,*,16,Florast,False,0,Strategy,11,???,10,???
8,*,16,Florast,False,0,Strategy,12,???,10,???
9,*,16,Florast,False,0,Strategy,30,???,12,???
10,*,16,Florast,False,0,Strategy,22,???,17,???
11,*,16,Florast,False,0,Strategy,22,???,18,???
12,*,16,Florast,False,0,Strategy,27,???,15,???
13,*,16,Florast,False,0,Strategy,25,???,19,???
14,*,16,Florast,False,0,Strategy,30,???,20,???
15,*,16,Florast,False,1,Action,550,Attack,2,Random character
16,*,16,Florast,False,1,Action,552,Run,-1,None
17,*,16,Florast,False,1,Action,504,Driln,17,Character without Weak
18,*,16,Florast,False,1,Action,511,Noxus,-1,None
19,*,16,Florast,False,1,Action,100,Magic?,-1,None
20,*,16,Florast,False,1,Action,551,Guard,-1,None
1,*,17,Tsirat,True,0,Strategy,44,???,3,???
2,*,17,Tsirat,True,0,Strategy,30,???,4,???
3,*,17,Tsirat,True,0,Strategy,24,???,12,???
4,*,17,Tsirat,True,0,Strategy,0,???,7,???
5,*,17,Tsirat,True,0,Strategy,46,???,7,???
6,*,17,Tsirat,True,0,Strategy,25,???,13,???
7,*,17,Tsirat,True,0,Strategy,33,???,9,???
8,*,17,Tsirat,True,0,Strategy,24,???,14,???
9,*,17,Tsirat,True,0,Strategy,21,???,12,???
10,*,17,Tsirat,True,0,Strategy,21,???,15,???
11,*,17,Tsirat,True,1,Action,550,Attack,2,Random character
12,*,17,Tsirat,True,1,Action,552,Run,-1,None
13,*,17,Tsirat,True,1,Action,211,HP Absorb,3,Character with most HP
14,*,17,Tsirat,True,1,Action,532,Electri,2,Random character
15,*,17,Tsirat,True,1,Action,551,Guard,-1,None
1,*,18,Thorkyn,True,0,Strategy,44,???,3,???
2,*,18,Thorkyn,True,0,Strategy,30,???,4,???
3,*,18,Thorkyn,True,0,Strategy,24,???,13,???
4,*,18,Thorkyn,True,0,Strategy,40,???,15,???
5,*,18,Thorkyn,True,0,Strategy,11,???,7,???
6,*,18,Thorkyn,True,0,Strategy,30,???,8,???
7,*,18,Thorkyn,True,0,Strategy,25,???,14,???
8,*,18,Thorkyn,True,0,Strategy,27,???,11,???
9,*,18,Thorkyn,True,0,Strategy,27,???,12,???
10,*,18,Thorkyn,True,0,Strategy,30,???,13,???
11,*,18,Thorkyn,True,1,Action,550,Attack,2,Random character
12,*,18,Thorkyn,True,1,Action,551,Guard,-1,None
13,*,18,Thorkyn,True,1,Action,552,Run,-1,None
14,*,18,Thorkyn,True,1,Action,20,Gather Strength,-1,None
15,*,18,Thorkyn,True,1,Action,170,Needle Storm,2,Random character
1,*,19,Scorfly,True,0,Strategy,45,???,3,???
2,*,19,Scorfly,True,0,Strategy,30,???,4,???
3,*,19,Scorfly,True,0,Strategy,24,???,7,???
4,*,19,Scorfly,True,0,Strategy,21,???,7,???
5,*,19,Scorfly,True,0,Strategy,21,???,8,???
6,*,19,Scorfly,True,1,Action,550,Attack,1,Common character
7,*,19,Scorfly,True,1,Action,552,Run,-1,None
8,*,19,Scorfly,True,1,Action,551,Guard,-1,None
1,*,20,Centralk,False,0,Strategy,44,???,3,???
2,*,20,Centralk,False,0,Strategy,30,???,4,???
3,*,20,Centralk,False,0,Strategy,28,???,16,???
4,*,20,Centralk,False,0,Strategy,2,???,12,???
5,*,20,Centralk,False,0,Strategy,4,???,7,???
6,*,20,Centralk,False,0,Strategy,30,???,9,???
7,*,20,Centralk,False,0,Strategy,28,???,14,???
8,*,20,Centralk,False,0,Strategy,30,???,15,???
9,*,20,Centralk,False,0,Strategy,26,???,14,???
10,*,20,Centralk,False,0,Strategy,26,???,15,???
11,*,20,Centralk,False,0,Strategy,30,???,16,???
12,*,20,Centralk,False,0,Strategy,24,???,16,???
13,*,20,Centralk,False,0,Strategy,30,???,9,???
14,*,20,Centralk,False,1,Action,550,Attack,1,Common character
15,*,20,Centralk,False,1,Action,551,Guard,-1,None
16,*,20,Centralk,False,1,Action,552,Run,-1,None
1,*,21,Feralisk,False,0,Strategy,36,???,9,???
2,*,21,Feralisk,False,0,Strategy,11,???,4,???
3,*,21,Feralisk,False,0,Strategy,30,???,5,???
4,*,21,Feralisk,False,0,Strategy,22,???,15,???
5,*,21,Feralisk,False,0,Strategy,12,???,7,???
6,*,21,Feralisk,False,0,Strategy,30,???,8,???
7,*,21,Feralisk,False,0,Strategy,21,???,15,???
8,*,21,Feralisk,False,0,Strategy,22,???,16,???
9,*,21,Feralisk,False,0,Strategy,27,???,13,???
10,*,21,Feralisk,False,0,Strategy,25,???,14,???
11,*,21,Feralisk,False,0,Strategy,25,???,17,???
12,*,21,Feralisk,False,0,Strategy,30,???,18,???
13,*,21,Feralisk,False,1,Action,550,Attack,2,Random character
14,*,21,Feralisk,False,1,Action,551,Guard,-1,None
15,*,21,Feralisk,False,1,Action,501,Incremus,-1,None
16,*,21,Feralisk,False,1,Action,510,Noxi,16,Character without Sleep
17,*,21,Feralisk,False,1,Action,88,Call Allies,-1,None
18,*,21,Feralisk,False,1,Action,115,Call Allies,-1,None
1,*,22,Ferlith,Undefined,0,Strategy,36,???,9,???
2,*,22,Ferlith,Undefined,0,Strategy,11,???,4,???
3,*,22,Ferlith,Undefined,0,Strategy,30,???,5,???
4,*,22,Ferlith,Undefined,0,Strategy,22,???,15,???
5,*,22,Ferlith,Undefined,0,Strategy,12,???,7,???
6,*,22,Ferlith,Undefined,0,Strategy,30,???,8,???
7,*,22,Ferlith,Undefined,0,Strategy,21,???,15,???
8,*,22,Ferlith,Undefined,0,Strategy,22,???,16,???
9,*,22,Ferlith,Undefined,0,Strategy,27,???,13,???
10,*,22,Ferlith,Undefined,0,Strategy,25,???,14,???
11,*,22,Ferlith,Undefined,0,Strategy,25,???,17,???
12,*,22,Ferlith,Undefined,0,Strategy,30,???,18,???
13,*,22,Ferlith,Undefined,1,Action,550,Attack,2,Random character
14,*,22,Ferlith,Undefined,1,Action,551,Guard,-1,None
15,*,22,Ferlith,Undefined,1,Action,501,Incremus,-1,None
16,*,22,Ferlith,Undefined,1,Action,510,Noxi,16,Character without Sleep
17,*,22,Ferlith,Undefined,1,Action,89,Call Allies,-1,None
18,*,22,Ferlith,Undefined,1,Action,115,Call Allies,-1,None
1,*,23,Crylhound,True,0,Strategy,45,???,3,???
2,*,23,Crylhound,True,0,Strategy,30,???,4,???
3,*,23,Crylhound,True,0,Strategy,26,???,13,???
4,*,23,Crylhound,True,0,Strategy,44,???,6,???
5,*,23,Crylhound,True,0,Strategy,30,???,7,???
6,*,23,Crylhound,True,0,Strategy,23,???,13,???
7,*,23,Crylhound,True,0,Strategy,11,???,10,???
8,*,23,Crylhound,True,0,Strategy,29,???,12,???
9,*,23,Crylhound,True,0,Strategy,30,???,13,???
10,*,23,Crylhound,True,0,Strategy,23,???,14,???
11,*,23,Crylhound,True,0,Strategy,21,???,15,???
12,*,23,Crylhound,True,1,Action,550,Attack,2,Random character
13,*,23,Crylhound,True,1,Action,552,Run,-1,None
14,*,23,Crylhound,True,1,Action,513,Quika,-1,None
15,*,23,Crylhound,True,1,Action,551,Guard,-1,None
1,*,24,Magma Tiki,Undefined,0,Strategy,41,???,9,???
2,*,24,Magma Tiki,Undefined,0,Strategy,2,???,7,???
3,*,24,Magma Tiki,Undefined,0,Strategy,5,???,8,???
4,*,24,Magma Tiki,Undefined,0,Strategy,1,???,8,???
5,*,24,Magma Tiki,Undefined,0,Strategy,24,???,8,???
6,*,24,Magma Tiki,Undefined,0,Strategy,21,???,10,???
7,*,24,Magma Tiki,Undefined,1,Action,550,Attack,1,Common character
8,*,24,Magma Tiki,Undefined,1,Action,47,Tremble,-1,None
9,*,24,Magma Tiki,Undefined,1,Action,180,Lava Storm,-1,None
10,*,24,Magma Tiki,Undefined,1,Action,551,Guard,-1,None
1,*,25,Salamander,Undefined,0,Strategy,33,???,5,???
2,*,25,Salamander,Undefined,0,Strategy,28,???,9,???
3,*,25,Salamander,Undefined,0,Strategy,25,???,10,???
4,*,25,Salamander,Undefined,0,Strategy,30,???,13,???
5,*,25,Salamander,Undefined,0,Strategy,26,???,9,???
6,*,25,Salamander,Undefined,0,Strategy,25,???,11,???
7,*,25,Salamander,Undefined,0,Strategy,25,???,13,???
8,*,25,Salamander,Undefined,0,Strategy,30,???,12,???
9,*,25,Salamander,Undefined,1,Action,550,Attack,2,Random character
10,*,25,Salamander,Undefined,1,Action,523,Pyri,-1,None
11,*,25,Salamander,Undefined,1,Action,100,Magic?,-1,None
12,*,25,Salamander,Undefined,1,Action,552,Run,-1,None
13,*,25,Salamander,Undefined,1,Action,551,Guard,-1,None
1,*,26,Baroo,False,0,Strategy,44,???,3,???
2,*,26,Baroo,False,0,Strategy,30,???,4,???
3,*,26,Baroo,False,0,Strategy,29,???,16,???
4,*,26,Baroo,False,0,Strategy,2,???,12,???
5,*,26,Baroo,False,0,Strategy,4,???,7,???
6,*,26,Baroo,False,0,Strategy,30,???,9,???
7,*,26,Baroo,False,0,Strategy,29,???,14,???
8,*,26,Baroo,False,0,Strategy,30,???,16,???
9,*,26,Baroo,False,0,Strategy,27,???,14,???
10,*,26,Baroo,False,0,Strategy,24,???,15,???
11,*,26,Baroo,False,0,Strategy,30,???,16,???
12,*,26,Baroo,False,0,Strategy,25,???,16,???
13,*,26,Baroo,False,0,Strategy,30,???,9,???
14,*,26,Baroo,False,1,Action,550,Attack,1,Common character
15,*,26,Baroo,False,1,Action,551,Guard,-1,None
16,*,26,Baroo,False,1,Action,552,Run,-1,None
1,*,27,Dung Fly,Undefined,0,Strategy,17,???,15,???
2,*,27,Dung Fly,Undefined,0,Strategy,36,???,10,???
3,*,27,Dung Fly,Undefined,0,Strategy,22,???,19,???
4,*,27,Dung Fly,Undefined,0,Strategy,23,???,20,???
5,*,27,Dung Fly,Undefined,0,Strategy,24,???,18,???
6,*,27,Dung Fly,Undefined,0,Strategy,24,???,21,???
7,*,27,Dung Fly,Undefined,0,Strategy,24,???,22,???
8,*,27,Dung Fly,Undefined,0,Strategy,25,???,23,???
9,*,27,Dung Fly,Undefined,0,Strategy,30,???,24,???
10,*,27,Dung Fly,Undefined,0,Strategy,25,???,18,???
11,*,27,Dung Fly,Undefined,0,Strategy,24,???,21,???
12,*,27,Dung Fly,Undefined,0,Strategy,26,???,22,???
13,*,27,Dung Fly,Undefined,0,Strategy,25,???,23,???
14,*,27,Dung Fly,Undefined,0,Strategy,30,???,24,???
15,*,27,Dung Fly,Undefined,0,Strategy,24,???,21,???
16,*,27,Dung Fly,Undefined,0,Strategy,25,???,22,???
17,*,27,Dung Fly,Undefined,0,Strategy,30,???,23,???
18,*,27,Dung Fly,Undefined,1,Action,550,Attack,2,Random character
19,*,27,Dung Fly,Undefined,1,Action,504,Driln,17,Character without Weak
20,*,27,Dung Fly,Undefined,1,Action,512,Slipara,16,Character without Sleep
21,*,27,Dung Fly,Undefined,1,Action,28,Call Allies,-1,None
22,*,27,Dung Fly,Undefined,1,Action,110,Call Allies,-1,None
23,*,27,Dung Fly,Undefined,1,Action,552,Run,-1,None
24,*,27,Dung Fly,Undefined,1,Action,551,Guard,-1,None
1,*,28,Death's Head,Undefined,0,Strategy,26,???,4,???
2,*,28,Death's Head,Undefined,0,Strategy,28,???,5,???
3,*,28,Death's Head,Undefined,0,Strategy,30,???,6,???
4,*,28,Death's Head,Undefined,1,Action,550,Attack,1,Common character
5,*,28,Death's Head,Undefined,1,Action,15,Stone Breath,13,Character without Stone
6,*,28,Death's Head,Undefined,1,Action,551,Guard,-1,None
1,*,29,Looper,True,0,Strategy,1,???,9,???
2,*,29,Looper,True,0,Strategy,25,???,9,???
3,*,29,Looper,True,0,Strategy,24,???,7,???
4,*,29,Looper,True,0,Strategy,23,???,8,???
5,*,29,Looper,True,0,Strategy,33,???,11,???
6,*,29,Looper,True,0,Strategy,30,???,10,???
7,*,29,Looper,True,1,Action,550,Attack,2,Random character
8,*,29,Looper,True,1,Action,551,Guard,-1,None
9,*,29,Looper,True,1,Action,552,Run,-1,None
10,*,29,Looper,True,1,Action,523,Pyri,-1,None
11,*,29,Looper,True,1,Action,100,Magic?,-1,None
1,*,30,Loopalon,Undefined,0,Strategy,1,???,11,???
2,*,30,Loopalon,Undefined,0,Strategy,25,???,11,???
3,*,30,Loopalon,Undefined,0,Strategy,11,???,5,???
4,*,30,Loopalon,Undefined,0,Strategy,30,???,6,???
5,*,30,Loopalon,Undefined,0,Strategy,25,???,12,???
6,*,30,Loopalon,Undefined,0,Strategy,25,???,9,???
7,*,30,Loopalon,Undefined,0,Strategy,25,???,10,???
8,*,30,Loopalon,Undefined,0,Strategy,30,???,13,???
9,*,30,Loopalon,Undefined,1,Action,550,Attack,2,Random character
10,*,30,Loopalon,Undefined,1,Action,551,Guard,-1,None
11,*,30,Loopalon,Undefined,1,Action,552,Run,-1,None
12,*,30,Loopalon,Undefined,1,Action,500,Increm,11,Enemy without Strengthen
13,*,30,Loopalon,Undefined,1,Action,100,Magic?,-1,None
1,*,31,Tsurak,False,0,Strategy,44,???,3,???
2,*,31,Tsurak,False,0,Strategy,30,???,4,???
3,*,31,Tsurak,False,0,Strategy,28,???,16,???
4,*,31,Tsurak,False,0,Strategy,17,???,10,???
5,*,31,Tsurak,False,0,Strategy,25,???,13,???
6,*,31,Tsurak,False,0,Strategy,25,???,14,???
7,*,31,Tsurak,False,0,Strategy,26,???,15,???
8,*,31,Tsurak,False,0,Strategy,25,???,16,???
9,*,31,Tsurak,False,0,Strategy,30,???,17,???
10,*,31,Tsurak,False,0,Strategy,25,???,14,???
11,*,31,Tsurak,False,0,Strategy,25,???,15,???
12,*,31,Tsurak,False,0,Strategy,30,???,16,???
13,*,31,Tsurak,False,1,Action,550,Attack,2,Random character
14,*,31,Tsurak,False,1,Action,29,Call Allies,-1,None
15,*,31,Tsurak,False,1,Action,98,Call Allies,-1,None
16,*,31,Tsurak,False,1,Action,552,Run,-1,None
17,*,31,Tsurak,False,1,Action,551,Guard,-1,None
1,*,32,Enforcer,False,0,Strategy,21,???,5,???
2,*,32,Enforcer,False,0,Strategy,23,???,4,???
3,*,32,Enforcer,False,1,Action,550,Attack,2,Random character
4,*,32,Enforcer,False,1,Action,70,Grenade,2,Random character
5,*,32,Enforcer,False,1,Action,551,Guard,-1,None
1,*,33,Serpentis,Undefined,0,Strategy,34,???,3,???
2,*,33,Serpentis,Undefined,0,Strategy,22,???,7,???
3,*,33,Serpentis,Undefined,0,Strategy,26,???,6,???
4,*,33,Serpentis,Undefined,0,Strategy,28,???,8,???
