Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
46,Royal Blade,6,Neutral,240,0b0010,"",X,"",0,Damage,3,Single EC,4,Enrique,1,8,0,0,40,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c77a0,96,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  8 SP
47,The Judgement,6,Neutral,242,0b0010,"",X,"",0,Damage,3,Single EC,4,Enrique,1,16,0,0,80,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7800,96,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                 16 SP
48,Gunslinger,6,Neutral,250,0b0010,"",X,"",0,Damage,43,EC Triangle 60°,5,Gilder,1,8,0,0,10,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7860,96,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   8 SP
49,The Claudia,6,Neutral,252,0b0010,"",X,"",0,Damage,4,All ECs,5,Gilder,1,18,0,0,15,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c78c0,96,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.         18 SP
50,Counterstrike,6,Neutral,301,0b0010,"",X,"",38,Counter% to 100% + Guard,5,Self,0,Vyse,2,0,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7920,96,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    0 SP"
51,Skull Shield,6,Neutral,303,0b0010,"",X,"",46,Counter% to 100% + Block Attack,2,All PCs,0,Vyse,2,5,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7980,100,Vyse summons the spirit of an Air Pirate\nto defend and counterattack for his crew.  5 SP        
52,Delta Shield,6,Neutral,311,0b0010,"",X,"",39,Block Magic,2,All PCs,1,Aika,2,5,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c79e4,96,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    5 SP
53,Epsilon Mirror,6,Neutral,313,0b0010,"",X,"",77,Recover MP + Invulnerable,5,Self,1,Aika,2,6,0,0,10,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7a44,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             6 SP
54,Lunar Blessing,6,Neutral,320,0b0010,"",X,"",33,Regenerate,2,All PCs,2,Fina,1,8,0,0,100,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7aa4,100,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            8 SP
55,Lunar Cleansing,6,Neutral,322,0b0010,"",X,"",30,Rem Neg States B,2,All PCs,2,Fina,1,6,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7b08,92,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.        6 SP
56,Lunar Light,6,Neutral,324,0b0010,"",X,"",47,Recover HP & MP + Rem Neg States,2,All PCs,2,Fina,1,18,0,0,10000,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7b64,92,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies. 18 SP "
57,Spirit Charge,6,Neutral,331,0b0010,"",X,"",41,Recover SP by 200% + Guard,5,Self,3,Drachma,2,0,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7bc0,92,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      0 SP"
58,Justice Shield,6,Neutral,341,0b0010,"",X,"",1,Guard,2,All PCs,4,Enrique,2,12,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7c1c,96,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.  12 SP
59,Aura of Denial,6,Neutral,351,0b0010,"",X,"",42,Block Neg States,2,All PCs,5,Gilder,2,6,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7c7c,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        6 SP
60,Blue Rogues,6,Neutral,-1,0b0010,"",X,"",66,Crew Special B,6,All PCs & ECs,0,Vyse,-1,-1,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7cdc,96,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.   ALL SP 
61,Prophecy,6,Neutral,-1,0b0010,"",X,"",65,Crew Special A,4,All ECs,0,Vyse,1,-1,0,0,0,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7d3c,96,Combines the power of all 4 party members to\ncall upon an ancient power.              ALL SP
