Entry ID,[Filter],Entry JP Name,[Entry US Name],Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,[May Dodge],[Unk Damage],[Unk Ranged],[Unk Melee],[Ranged Atk],[Melee Atk],[Ranged Only],[Take Cover],[In Air],[On Ground],[Reserved],[May Move],Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
36,*,Pinalisk,Pinalisk,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,22,86,-1,-1,288,18.0,10,12,8,8,12,10,10,10,20,8,8,0,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,7,65,75,20,49,119,198,135,95,15,-1,-1,2,1,132,Victory Mail,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
37,*,Crylbeast,Crylbeast,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,470,133,-1,-1,355,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,0,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,136,63,15,171,259,190,190,110,30,-1,-1,1,1,264,Sylph Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
38,*,Slothstra,Slothstra,3,3,3,Blue,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,25,68,291,-1,-1,1606,18.0,12,8,12,10,8,10,12,5,5,10,0,0,0,0,8,10,10,10,10,10,10,2500,70,Confusion + Damage,4,Confusion,40,-1,9,76,96,15,48,170,134,96,85,5,-1,-1,10,1,186,Eye of Truth,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
39,*,Polraxis,Polraxis,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,30,29,109,-1,-1,244,18.0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,500,8,Stone + Damage,2,Stone,70,-1,9,76,76,30,56,143,451,81,120,10,-1,-1,10,1,244,Magic Droplet,2,1,184,Gem of Fluidity,1,1,258,Moonberry,-1,-1,-1,None
40,*,Roseln,Roseln,3,3,3,Blue,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,44,231,-1,-1,1536,18.0,12,8,12,10,8,10,12,10,8,0,12,0,0,0,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,8,73,69,10,56,145,132,132,80,5,-1,-1,2,1,262,Zaal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
41,*,Elooper,Elooper,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,39,599,-1,-1,76,18.0,10,12,8,8,12,10,8,10,12,8,8,8,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,7,84,88,10,79,131,118,483,110,150,-1,-1,4,1,210,Black Map,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None
42,*,Grapor,Grapor,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,9,129,-1,-1,40,18.0,10,20,5,5,20,10,100,100,100,100,100,0,0,0,100,10,10,10,10,10,10,520,-1,None,0,Poison,0,-1,23,86,64,10,106,180,194,194,85,20,-1,-1,100,1,358,Grapor Meat,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
43,*,Sphyrus,Sphyrus,1,1,3,Blue,-1,-1,0b011111000000,"",X,X,X,X,X,"","","","","","",5,627,177,-1,-1,501,18.0,11,9,11,10,9,10,11,10,10,10,11,0,0,0,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,30,108,81,5,146,244,244,244,80,0,-1,-1,1,1,272,Wevlen Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
44,*,Iridzu,Iridzu,1,1,0,Green,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,386,117,-1,-1,358,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,0,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,27,124,70,5,145,227,210,210,100,25,-1,-1,1,1,281,Slipara Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
45,*,Flyst,Flyst,1,1,2,Purple,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,301,72,-1,-1,345,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,0,10,10,10,10,10,10,10,400,70,Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,288,204,256,75,10,-1,-1,1,1,222,Chance Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
46,*,Medulizk,Medulizk,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,15,613,132,-1,-1,519,18.0,11,9,11,10,9,10,0,10,10,10,11,10,0,0,9,10,10,10,10,10,10,500,4,Poison + Damage,0,Poison,80,-1,33,159,59,10,146,282,177,177,80,25,-1,-1,2,1,182,Ivy Band,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
47,*,Lucich,Lucich,1,1,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,16,42,-1,-1,295,18.0,10,12,8,8,12,10,10,10,10,8,8,8,0,0,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,8,114,58,15,47,106,114,114,75,30,-1,-1,2,1,250,Risan Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
48,*,Digger,Digger,1,1,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,19,110,-1,-1,335,18.0,8,10,10,12,8,12,0,12,12,12,10,0,0,0,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,8,70,61,10,48,131,200,79,95,15,-1,-1,2,1,188,Everlasting Gem,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
49,*,Flat Fiend,Flat Fiend,1,1,2,Purple,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,5,331,98,-1,-1,247,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,0,10,10,10,10,10,10,10,500,72,Fatigue + Damage,6,Fatigue,70,-1,28,128,68,15,149,234,204,204,85,40,-1,-1,2,1,135,Ghost Mail,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
50,*,Burocca,Burocca,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,285,193,-1,-1,244,18.0,20,5,20,10,5,10,20,20,20,20,20,0,0,0,20,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,86,19,20,68,188,280,108,80,5,-1,-1,5,1,171,Burocca's Shell,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
51,*,Drogerp,Drogerp,3,3,2,Purple,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,25,1122,278,-1,-1,1381,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,0,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,27,155,104,10,100,314,272,248,80,5,-1,-1,2,1,266,Magus Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
52,*,Nadnarb,Nadnarb,1,1,3,Blue,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,5,471,100,-1,-1,217,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,0,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,296,212,212,80,5,-1,-1,1,1,261,Icyl Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
53,*,Nairad,Nairad,1,1,3,Blue,-1,-1,0b111111111101,X,X,X,X,X,X,X,X,X,X,"",X,5,471,100,-1,-1,433,18.0,11,9,11,10,9,10,11,10,0,10,11,9,0,0,9,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,34,152,70,10,136,312,212,212,80,5,-1,-1,1,1,263,Dexus Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
54,*,Kanezl,Kanezl,1,1,0,Green,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,173,1000,-1,-1,325,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,0,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,108,51,5,136,216,259,518,120,120,-1,-1,2,1,291,Gold Pollen,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
55,*,Mantoid,Mantoid,3,3,0,Green,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,940,266,-1,-1,1722,18.0,10,11,9,9,11,10,9,10,10,9,9,10,0,0,11,10,10,10,10,10,10,1000,72,Fatigue + Damage,6,Fatigue,40,-1,30,137,92,15,110,317,231,231,85,10,-1,-1,2,1,262,Zaal Seed,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
56,*,Sorcerer,Sorcerer,1,1,4,Yellow,-1,-1,0b111111110101,X,X,X,X,X,X,X,X,"",X,"",X,5,682,247,-1,-1,809,18.0,9,10,10,11,9,11,9,11,10,11,10,11,0,0,9,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,38,352,123,5,166,302,268,470,70,25,-1,-1,1,1,280,Driln Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
