Entry ID,Entry US Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
10,Gregorio Gunboat,9030000,120,270,300,70,5,10,10,8,8,10,7,10,0,Main Cannon,270,0,90,6,Neutral,1,Sec Cannon,220,3,85,6,Neutral,2,Torpedo,250,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1685,0,100%,483,Shredder Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
11,Lynx,30000,90,40,70,60,30,10,8,8,12,12,10,10,0,Main Cannon,140,0,90,6,Neutral,1,Sec Cannon,110,2,88,6,Neutral,2,Torpedo,160,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,151,1194,0,100%,496,Captain's Stripe,0,100%,509,Magic Cannon,0,100%,411,"3""Blaster"
12,Chameleon,30000,100,50,100,80,20,15,10,12,10,8,8,12,0,Main Cannon,150,0,90,6,Neutral,1,Sec Cannon,120,2,80,6,Neutral,2,Torpedo,170,2,70,6,Neutral,3,Special,450,0,-1,6,Neutral,0,0,0,0,0,0,272,1546,0,100%,496,Captain's Stripe,0,100%,404,B-Type Cannon,-1,None,-1,None
13,Chameleon,30000,150,100,150,80,20,15,10,12,10,8,8,12,0,Main Cannon,170,0,100,6,Neutral,1,Sec Cannon,140,2,90,6,Neutral,2,Torpedo,190,2,80,6,Neutral,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,547,1791,0,100%,496,Captain's Stripe,0,100%,423,Hunter Torpedo,-1,None,-1,None
14,Chameleon,9030000,200,150,380,120,20,30,3,3,3,3,0,3,0,Main Cannon,300,0,60,6,Neutral,1,Sec Cannon,250,2,70,6,Neutral,2,Torpedo,550,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7160,0,100%,496,Captain's Stripe,0,100%,455,Twin Turbo,0,100%,506,Magic Shell
15,カット１５,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,Auriga,9050000,250,300,300,80,15,5,9,5,5,9,3,9,0,Main Cannon,300,0,87,6,Neutral,1,Sec Cannon,250,2,87,6,Neutral,2,Torpedo,300,2,80,6,Neutral,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5041,0,100%,496,Captain's Stripe,0,100%,464,Heavy Armor Deck,0,100%,414,"12""Cannon"
17,Draco,9045000,240,125,300,100,15,10,10,10,8,11,11,10,-1,None,-1,-1,-1,-1,None,1,Sec Cannon,300,0,80,6,Neutral,2,Torpedo,500,2,80,6,Neutral,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,5825,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
18,Hydra,9200000,280,300,370,200,15,5,10,10,10,10,0,10,0,Main Cannon,350,0,70,6,Neutral,1,Sec Cannon,360,1,80,6,Neutral,1,Sec Cannon,370,2,80,6,Neutral,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,12187,0,100%,496,Captain's Stripe,0,100%,432,Moon Cannon,6,Kalifa,434,Moon Torpedo
19,カット１９,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,カット２０,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,Black Pirates,10000,40,35,50,60,8,25,8,8,12,12,10,10,0,Main Cannon,130,0,70,6,Neutral,2,Torpedo,160,1,60,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,4,307,3,20%,480,Bomb,2,10%,440,Rogue Figure,-1,None,-1,None
22,Spell Pirates,18000,100,70,220,90,8,15,8,8,12,12,10,10,0,Main Cannon,140,0,80,6,Neutral,2,Torpedo,200,1,70,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,61,482,3,20%,491,Deluxe Kit,2,10%,442,Pyrynn Figure,-1,None,-1,None
23,Blackbeard,8000,115,10,10,40,10,10,8,8,12,12,10,10,0,Main Cannon,130,0,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,149,0,100%,496,Captain's Stripe,0,100%,439,Kazai Gun,-1,None,-1,None
24,Recumen,100000,100,0,100,40,0,1,5,0,20,20,10,10,3,Special,320,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,Grendel,100000,200,100,80,75,10,1,10,12,10,8,8,12,3,Special,240,0,-1,6,Neutral,3,Special,280,0,-1,6,Neutral,3,Special,400,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,791,1993,0,100%,496,Captain's Stripe,0,100%,30,Grendel Wing,-1,None,-1,None
26,Bluheim,9100000,350,200,350,130,10,70,10,15,10,0,10,10,3,Special,250,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,450,0,-1,6,Neutral,3,Special,200,0,-1,6,Neutral,0,0,0,0,0,0,17140,8386,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
27,Yeligar,9150000,400,100,330,80,5,2,10,10,10,10,0,10,3,Special,330,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,19050,8479,0,100%,496,Captain's Stripe,0,100%,5,Thunder Cutlass,-1,None,-1,None
28,Zelos,9240000,240,300,350,250,30,20,8,8,8,8,8,0,3,Special,800,0,-1,6,Neutral,3,Special,900,0,-1,6,Neutral,3,Special,1000,0,-1,6,Neutral,3,Special,1300,1,-1,6,Neutral,0,0,0,0,0,0,33590,0,0,100%,496,Captain's Stripe,-1,None,-1,None,-1,None,-1,None
29,Anguila,9056000,300,100,100,80,10,5,10,25,10,10,10,10,3,Special,250,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,10830,5564,0,100%,482,Concussion Bomb,0,100%,425,Heavy Torpedo,7,Osman,456,Timing Valve
30,Raja,9015000,270,50,100,80,10,45,10,10,15,10,5,10,3,Special,230,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2630,1122,4,50%,491,Deluxe Kit,6,Kalifa,508,Crystal Ball,2,10%,475,Soundproofing
31,Raja Embla,9025000,300,100,150,120,15,45,10,10,15,10,3,10,3,Special,270,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2630,1114,4,50%,493,Complete Kit,7,Osman,507,Gold Bullion,-1,None,-1,None
32,Obispo,50000,220,200,100,150,10,18,12,8,12,10,10,8,3,Special,600,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2870,2770,0,100%,496,Captain's Stripe,7,Osman,504,Light Alloy,0,100%,465,Alloy Deck
33,カット３３,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
34,カット３４,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
35,Roc,9045000,50,150,300,90,6,23,10,13,10,10,15,10,3,Special,300,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,3,Special,400,0,-1,6,Neutral,0,0,0,0,0,0,13580,6846,6,Kalifa,478,Wooden Doll,7,Osman,507,Gold Bullion,-1,None,-1,None
36,Giant Looper,9030000,999,260,999,130,15,50,10,10,10,10,10,10,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,28580,13235,0,100%,495,Thermal Grease,0,100%,496,Captain's Stripe,0,100%,505,Hex Shell
37,Alania,9052000,250,200,250,85,10,80,10,15,1,8,10,5,3,Special,280,0,-1,6,Neutral,3,Special,220,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,14290,6594,6,Kalifa,447,Goddess Figure,6,Kalifa,473,Air Purifier,-1,None,-1,None
38,Fortress Gates,250000,400,200,300,50,10,5,12,10,8,10,8,12,0,Main Cannon,500,2,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,68,1545,0,100%,494,Gear Grease,0,100%,497,Apa Wax,0,100%,424,Valuan Torpedo
39,カット３９,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
40,Gadianos,9015000,999,100,999,235,25,30,10,10,10,10,10,10,3,Special,300,0,-1,6,Neutral,3,Special,450,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,6120,2524,0,100%,493,Complete Kit,0,100%,469,Sparkling Deck,0,100%,433,Moon Gun
41,Gaditaos,9015000,999,150,999,235,25,45,10,10,10,10,10,10,3,Special,350,0,-1,6,Neutral,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,6120,2595,0,100%,493,Complete Kit,0,100%,469,Sparkling Deck,-1,None,-1,None
42,カット４２,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
43,The Blackbeard,9015000,100,200,90,100,30,20,3,3,3,3,3,3,0,Main Cannon,350,0,85,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5520,2326,0,100%,456,Timing Valve,0,100%,449,Spherical Figure,0,100%,500,Hybrid Wax
44,Tenkou Spellship,9025000,250,300,300,90,20,3,7,7,7,7,7,7,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,220,2,75,6,Neutral,2,Torpedo,250,3,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1910,875,0,100%,484,Pyro Bomb,7,Osman,508,Crystal Ball,-1,None,-1,None
